run_id,terrain,phase,kind,samples,correct_rate,switches,raw_mean,firing_count,oracle_positive_count
homogeneous_marble_00,marble,AIR,terrain,1472,0.5033967391304348,19,1.84375,,
homogeneous_marble_00,marble,TOUCHDOWN,terrain,62,0.06451612903225806,6,1.9516129032258065,,
homogeneous_marble_00,marble,LOADING,terrain,100,0.18,5,1.95,,
homogeneous_marble_00,marble,MID_STANCE,terrain,1316,0.7484802431610942,29,1.1534954407294833,,
homogeneous_marble_00,marble,PUSH_OFF,terrain,50,0.54,6,1.58,,
homogeneous_marble_01,marble,AIR,terrain,1472,0.5033967391304348,19,1.84375,,
homogeneous_marble_01,marble,TOUCHDOWN,terrain,62,0.06451612903225806,6,1.9516129032258065,,
homogeneous_marble_01,marble,LOADING,terrain,100,0.18,5,1.95,,
homogeneous_marble_01,marble,MID_STANCE,terrain,1316,0.7484802431610942,29,1.1534954407294833,,
homogeneous_marble_01,marble,PUSH_OFF,terrain,50,0.54,6,1.58,,
homogeneous_marble_02,marble,AIR,terrain,1472,0.5033967391304348,19,1.84375,,
homogeneous_marble_02,marble,TOUCHDOWN,terrain,62,0.06451612903225806,6,1.9516129032258065,,
homogeneous_marble_02,marble,LOADING,terrain,100,0.18,5,1.95,,
homogeneous_marble_02,marble,MID_STANCE,terrain,1316,0.7484802431610942,29,1.1534954407294833,,
homogeneous_marble_02,marble,PUSH_OFF,terrain,50,0.54,6,1.58,,
homogeneous_ice_00,ice,AIR,terrain,1166,0.038593481989708404,25,1.8807890222984562,,
homogeneous_ice_00,ice,TOUCHDOWN,terrain,656,0.2652439024390244,24,1.7774390243902438,,
homogeneous_ice_00,ice,LOADING,terrain,543,0.31307550644567217,22,1.9465930018416207,,
homogeneous_ice_00,ice,MID_STANCE,terrain,514,0.1828793774319066,19,1.7782101167315174,,
homogeneous_ice_00,ice,PUSH_OFF,terrain,121,0.1322314049586777,10,1.975206611570248,,
homogeneous_ice_01,ice,AIR,terrain,1166,0.038593481989708404,25,1.8807890222984562,,
homogeneous_ice_01,ice,TOUCHDOWN,terrain,656,0.2652439024390244,24,1.7774390243902438,,
homogeneous_ice_01,ice,LOADING,terrain,543,0.31307550644567217,22,1.9465930018416207,,
homogeneous_ice_01,ice,MID_STANCE,terrain,514,0.1828793774319066,19,1.7782101167315174,,
