domain,channel,mean,std,median,p05,p95,min,max
controlled_train,foot_force_1,25.3101749420166,12.342455863952637,25.55218505859375,0.2840989828109741,45.373661041259766,0.0,105.31613159179688
controlled_train,foot_force_2,25.676654815673828,12.270591735839844,25.919797897338867,0.3077068626880646,45.9901008605957,0.0,104.23939514160156
controlled_train,foot_force_3,9.025747299194336,6.979607582092285,8.793630599975586,0.0,22.034652709960938,0.0,47.36452865600586
controlled_train,foot_force_4,9.269229888916016,6.839095115661621,9.208410263061523,0.0,20.672517776489258,0.0,47.500675201416016
controlled_train,accel_x,-0.7078782320022583,2.51259446144104,0.007463137619197369,-6.155065536499023,0.273425430059433,-26.519487380981445,6.877755641937256
controlled_train,accel_y,-0.14823737740516663,0.6707577705383301,-0.009569112211465836,-1.4377530813217163,0.19041500985622406,-7.329754829406738,5.65444278717041
controlled_train,accel_z,9.806158065795898,0.8631937503814697,9.843429565429688,8.992141723632812,10.809569358825684,-1.5652532577514648,13.366842269897461
controlled_train,gyro_x,0.0008033986086957157,0.015598494559526443,0.0007750013610348105,-0.01870645210146904,0.01975598931312561,-0.18601171672344208,0.1955280303955078
controlled_train,gyro_y,-0.010275119915604591,0.025022655725479126,-0.003942953422665596,-0.050632886588573456,0.017307138070464134,-0.35472622513771057,0.11303544044494629
controlled_train,gyro_z,-0.017285358160734177,0.049065977334976196,-0.002545816358178854,-0.13517574965953827,0.024646343663334846,-0.4185427129268646,0.19106850028038025
walking_all,foot_force_1,28.089025656323535,57.469739672622644,0.0,0.0,147.96280532575392,0.0,415.6394243399225
walking_all,foot_force_2,41.849306531901846,86.91737184244724,0.0,0.0,190.19870661978675,0.0,2031.0602929820982
walking_all,foot_force_3,11.10743175805832,39.46859970936815,0.0,0.0,70.28137223227407,0.0,1425.143618956797
walking_all,foot_force_4,22.522329196677642,60.1914355499618,0.0,0.0,111.8350716965825,0.0,727.4299867066577
walking_all,accel_x,-5.552464430958444,80.2755456113468,-0.056946521217524165,-114.70196449363831,76.64300714720002,-774.9377003967452,1471.1781271825994
walking_all,accel_y,-1.9933160361538762,46.3513622101979,0.017180377737927223,-57.224258933078204,53.713645328519284,-568.438685041212,719.3766478563897
walking_all,accel_z,28.196237102806673,69.4267797333737,10.609041499647246,-28.108244013624184,130.81829662674227,-466.37676407145256,1459.1499501856838
walking_all,gyro_x,-0.8157782535427124,6.098020285711933,-0.07074099202413775,-10.36361363944669,7.641346004324898,-32.107169429001786,45.24839307217093
walking_all,gyro_y,0.8631319386970938,8.985624419012714,0.00565701501337851,-13.558234462143194,15.037918724841859,-58.347409471608,60.725145525174376
walking_all,gyro_z,0.10176758138642522,5.577541518213663,-0.009887319605533702,-8.391220283311455,7.862860246213414,-27.117229643043284,38.83305938633909
