class,validation_recall,prediction_count,validation_rows,macro_accuracy,macro_recall,worst_class_recall,majority_prediction_rate,sand_prediction_rate,left_right_consistency,class_collapse
concrete,0.8720173535791758,2007,15345,0.9456500488758554,0.9094796501531782,0.8004434589800443,0.6454219615509939,0.6454219615509939,0.9368200836820084,False
marble,0.8004434589800443,1659,15345,0.9456500488758554,0.9094796501531782,0.8004434589800443,0.6454219615509939,0.6454219615509939,0.9368200836820084,False
ice,0.9870664315108759,1775,15345,0.9456500488758554,0.9094796501531782,0.8004434589800443,0.6454219615509939,0.6454219615509939,0.9368200836820084,False
sand,0.978391356542617,9904,15345,0.9456500488758554,0.9094796501531782,0.8004434589800443,0.6454219615509939,0.6454219615509939,0.9368200836820084,False
