run_id,pair_id,pair_index,role,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,patch,pair_fingerprint,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,patch_contact_application_count,finite_fusion20,full_trace_sha256,discarded,replaced,silently_relabelled
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,5,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,0.83,0.08,0.004,202608305,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",ffd7ad9964af1ae758592cf583d1d6e11f041ccf20ea59807cf78b3577d84f5b,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,12896,True,ecdf6c443f7b4d565f9caf5a32e40e54b91e5ee1bda942a2aab8069c955168f3,False,False,False
control_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,5,control,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,0.83,0.08,0.004,202608305,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",ffd7ad9964af1ae758592cf583d1d6e11f041ccf20ea59807cf78b3577d84f5b,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,12896,True,ecdf6c443f7b4d565f9caf5a32e40e54b91e5ee1bda942a2aab8069c955168f3,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,6,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,0.07,0.0,-0.004,202608306,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",d050110fba0b35afd47b53800f0581212a864c869d19e4f42bd0289879cc226c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,9037,True,e485cb9a433fab4a5a13ae3707fdfd32ac25efd87c847ab74533d5c27e539edf,False,False,False
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,6,control,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,near_slip_non_event,0,0.07,0.0,-0.004,202608306,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",d050110fba0b35afd47b53800f0581212a864c869d19e4f42bd0289879cc226c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,9037,True,e485cb9a433fab4a5a13ae3707fdfd32ac25efd87c847ab74533d5c27e539edf,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,7,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,1,0.41,0.04,0.0,202608307,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",0d3162b704d3157799a24cb35c953cadf0ace91321098ab769877c8fdf5e01f8,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,10036,True,c7b85f1adb5fb78c32eb53afd71fb0fc05f06cef7e5be62d7eb9d3d816df6ddd,False,False,False
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,7,control,0.1,left,mid_loading_early_stance,native_strong_ice,hard_normal,hard_normal,1,0.41,0.04,0.0,202608307,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",0d3162b704d3157799a24cb35c953cadf0ace91321098ab769877c8fdf5e01f8,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,10036,True,c7b85f1adb5fb78c32eb53afd71fb0fc05f06cef7e5be62d7eb9d3d816df6ddd,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,8,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,2,0.83,0.08,0.004,202608308,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",eba8acd402261c268d4ddf53897f2020e0663845f1b6be45d877a320008d3010,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,10481,True,8621d1ac66d04ba39c49bd70868bb3e41160dfb68a1b3e2a6ec6d1a3fbb107c8,False,False,False
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,8,control,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,near_slip_non_event,2,0.83,0.08,0.004,202608308,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",eba8acd402261c268d4ddf53897f2020e0663845f1b6be45d877a320008d3010,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,10481,True,8621d1ac66d04ba39c49bd70868bb3e41160dfb68a1b3e2a6ec6d1a3fbb107c8,False,False,False
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,9,positive,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,0.07,0.0,-0.004,202608309,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",aa3748f8a2dae4806a0240738322546b041f4f0c0334bd29ed16cc58fddfce92,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,9035,True,043ebfb99f60536cfcf76918e1ba61e3dfec251b95cf5a6758fede43e2218aa7,False,False,False
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,9,control,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608309,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",aa3748f8a2dae4806a0240738322546b041f4f0c0334bd29ed16cc58fddfce92,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,9035,True,043ebfb99f60536cfcf76918e1ba61e3dfec251b95cf5a6758fede43e2218aa7,False,False,False
