run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
control_0p10_right_mid_late_stance_native_strong_ice_v1,pair_031,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v0,pair_036,positive,False,,,,3000,0,True
control_0p15_left_early_loading_native_strong_ice_v0,pair_036,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v1,pair_037,positive,False,,,,3000,0,True
control_0p15_left_early_loading_native_strong_ice_v1,pair_037,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v2,pair_038,positive,False,,,,3000,0,True
control_0p15_left_early_loading_native_strong_ice_v2,pair_038,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v0,pair_039,positive,False,,,,3000,0,True
control_0p15_left_early_loading_moderate_ice_preregistered_v0,pair_039,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v1,pair_040,positive,False,,,,3000,0,True
control_0p15_left_early_loading_moderate_ice_preregistered_v1,pair_040,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v2,pair_041,positive,False,,,,3000,0,True
control_0p15_left_early_loading_moderate_ice_preregistered_v2,pair_041,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,pair_042,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,pair_042,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,pair_043,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,pair_043,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,pair_044,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,pair_044,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_045,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_045,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_046,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_046,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_047,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_047,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v0,pair_048,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v0,pair_048,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v1,pair_049,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v1,pair_049,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v2,pair_050,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v2,pair_050,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,pair_051,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,pair_051,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,pair_052,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,pair_052,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,pair_053,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,pair_053,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v0,pair_054,positive,False,,,,3000,0,True
control_0p15_right_early_loading_native_strong_ice_v0,pair_054,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v1,pair_055,positive,False,,,,3000,0,True
control_0p15_right_early_loading_native_strong_ice_v1,pair_055,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v2,pair_056,positive,False,,,,3000,0,True
control_0p15_right_early_loading_native_strong_ice_v2,pair_056,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v0,pair_057,positive,False,,,,3000,0,True
control_0p15_right_early_loading_moderate_ice_preregistered_v0,pair_057,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v1,pair_058,positive,False,,,,3000,0,True
control_0p15_right_early_loading_moderate_ice_preregistered_v1,pair_058,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v2,pair_059,positive,False,,,,3000,0,True
control_0p15_right_early_loading_moderate_ice_preregistered_v2,pair_059,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,pair_060,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,pair_060,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,pair_061,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,pair_061,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,pair_062,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,pair_062,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_063,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_063,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_064,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_064,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_065,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_065,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v0,pair_066,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v0,pair_066,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v1,pair_067,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v1,pair_067,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v2,pair_068,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v2,pair_068,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,pair_069,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,pair_069,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,pair_070,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,pair_070,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,pair_071,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,pair_071,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v0,pair_072,positive,False,,,,3000,0,True
control_0p20_left_early_loading_native_strong_ice_v0,pair_072,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v1,pair_073,positive,False,,,,3000,0,True
control_0p20_left_early_loading_native_strong_ice_v1,pair_073,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v2,pair_074,positive,False,,,,3000,0,True
control_0p20_left_early_loading_native_strong_ice_v2,pair_074,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v0,pair_075,positive,False,,,,3000,0,True
control_0p20_left_early_loading_moderate_ice_preregistered_v0,pair_075,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v1,pair_076,positive,False,,,,3000,0,True
control_0p20_left_early_loading_moderate_ice_preregistered_v1,pair_076,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v2,pair_077,positive,False,,,,3000,0,True
control_0p20_left_early_loading_moderate_ice_preregistered_v2,pair_077,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v0,pair_078,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v0,pair_078,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,pair_079,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v1,pair_079,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v2,pair_080,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v2,pair_080,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_081,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_081,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_082,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_082,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_083,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_083,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v0,pair_084,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v0,pair_084,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v1,pair_085,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v1,pair_085,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v2,pair_086,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v2,pair_086,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,pair_087,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,pair_087,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,pair_088,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,pair_088,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,pair_089,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,pair_089,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v0,pair_090,positive,False,,,,3000,0,True
control_0p20_right_early_loading_native_strong_ice_v0,pair_090,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v1,pair_091,positive,False,,,,3000,0,True
control_0p20_right_early_loading_native_strong_ice_v1,pair_091,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v2,pair_092,positive,False,,,,3000,0,True
control_0p20_right_early_loading_native_strong_ice_v2,pair_092,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v0,pair_093,positive,False,,,,3000,0,True
control_0p20_right_early_loading_moderate_ice_preregistered_v0,pair_093,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v1,pair_094,positive,False,,,,3000,0,True
control_0p20_right_early_loading_moderate_ice_preregistered_v1,pair_094,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v2,pair_095,positive,False,,,,3000,0,True
control_0p20_right_early_loading_moderate_ice_preregistered_v2,pair_095,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v0,pair_096,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v0,pair_096,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v1,pair_097,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v1,pair_097,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v2,pair_098,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v2,pair_098,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_099,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_099,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_100,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_100,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_101,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_101,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v0,pair_102,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_native_strong_ice_v0,pair_102,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v1,pair_103,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_native_strong_ice_v1,pair_103,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v2,pair_104,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_native_strong_ice_v2,pair_104,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v0,pair_105,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v0,pair_105,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v1,pair_106,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v1,pair_106,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v2,pair_107,positive,False,,,,3000,0,True
control_0p20_right_mid_late_stance_moderate_ice_preregistered_v2,pair_107,control,False,,,,3000,0,True
