pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,initial_policy_observation_equal,command_timing_equal,gait_phase_equal,target_touchdown_equal,speed_equal,patch_geometry_equal,seed_equal,duration_equal,timestamps_equal,non_material_configuration_equal,only_material_profile_differs,parity_pass
pair_025,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,e7c52f0c01ec2374fe0a2a35f1612684a1ff51c163c0f4f8c898569bba4242f0,0.1,right,mid_loading_early_stance,native_strong_ice,near_slip_non_event,1,202608325,True,True,True,True,True,True,True,True,True,True,True,True
pair_026,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,076bc0287a403bbc7876e16bf6aa002f20e01238d856a2f02ec5bba571c53749,0.1,right,mid_loading_early_stance,native_strong_ice,hard_normal,2,202608326,True,True,True,True,True,True,True,True,True,True,True,True
pair_027,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,f1a12d1493e29d8464b42f9f86998ae0378a1a33abf8dc6bb6fbd2844a17679d,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,0,202608327,True,True,True,True,True,True,True,True,True,True,True,True
pair_028,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,361632798146cd93167a05e178924c3e18fc1e5487ad25da16c3acaf818cc920,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,1,202608328,True,True,True,True,True,True,True,True,True,True,True,True
pair_029,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,8a9550a2cf15fc2e158dcd01206422143a2b0e016bf9b3776199b727f8222d21,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,2,202608329,True,True,True,True,True,True,True,True,True,True,True,True
pair_030,positive_0p10_right_mid_late_stance_native_strong_ice_v0,control_0p10_right_mid_late_stance_native_strong_ice_v0,d3ad3598197dc86afc4dbcb89bfe0688770957b70b7f46e8f25578845cdfdc13,0.1,right,mid_late_stance,native_strong_ice,near_slip_non_event,0,202608330,True,True,True,True,True,True,True,True,True,True,True,True
pair_031,positive_0p10_right_mid_late_stance_native_strong_ice_v1,control_0p10_right_mid_late_stance_native_strong_ice_v1,67f2ce5e761889dadba7536e3b29a5cb2e34f5df93fd63316cc80187e0e80b73,0.1,right,mid_late_stance,native_strong_ice,hard_normal,1,202608331,True,True,True,True,True,True,True,True,True,True,True,True
pair_032,positive_0p10_right_mid_late_stance_native_strong_ice_v2,control_0p10_right_mid_late_stance_native_strong_ice_v2,5790169ededc7353437657d7cec5b332cd04cea14d38837be9847a9259114ba7,0.1,right,mid_late_stance,native_strong_ice,near_slip_non_event,2,202608332,True,True,True,True,True,True,True,True,True,True,True,True
pair_033,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,463db3eef5a976e51206da159b7519a3719b90bf55fc87ad8f43517a4dafa973,0.1,right,mid_late_stance,moderate_ice_preregistered,hard_normal,0,202608333,True,True,True,True,True,True,True,True,True,True,True,True
pair_034,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,76fb4a9d851482f3bf9b5cd7fe870d8defe1a287585c4019ee523a9e4f73c72f,0.1,right,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608334,True,True,True,True,True,True,True,True,True,True,True,True
