detector,source,run_id,profile,speed_mps,variation,physical_episode_valid_onset_sample,physical_oracle_fire_sample,model_probability_threshold_crossing_sample,model_stable_fire_sample,touchdown_sample,physical_valid_onset_to_oracle_fire_ms,physical_oracle_fire_to_model_positive_ms,probability_crossing_to_stable_fire_ms,touchdown_to_model_stable_fire_ms,model_inference_compute_ms_per_window,anticipation_false_alarm,fall_occurred,pre_fall_only_evaluation,fast_reflex_target_ms
sink,fd5b9f0_outer_normal,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,0.1,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p15_v03,marble,0.15,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p15_v03,concrete,0.15,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,0.15,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p20_v03,marble,0.2,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p20_v03,concrete,0.2,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p20_v03,sand_walking_support_v1_hardened,0.2,3,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p10_v04,marble,0.1,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p10_v04,concrete,0.1,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p10_v04,sand_walking_support_v1_hardened,0.1,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p15_v04,marble,0.15,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p15_v04,concrete,0.15,4,,,,,,,,,,0.016180181283026254,False,False,True,20
