run_id,role,target_foot,contacting_foot,start_sample,geom1_name,geom1_id,geom2_name,geom2_id,body1_name,body1_id,body2_name,body2_id,patch_inclusion,contact_position_first,contact_position_last,geom1_friction,geom2_friction,geom1_priority,geom2_priority,explicit_pair_id,effective_contact_friction_first,effective_contact_friction_last,contact_dimension,contact_exclude,efc_address_min,efc_address_max,integrator,mutation_point,constraints_constructed_at_mutation,tangential_contact_force_peak_n,end_sample_exclusive,observed_sample_count,tangential_contact_force_mean_n
positive_0p10_left_early_native_strong_ice,positive,left,left,119,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08042535429198705, 0.1285460338017587, -1.0288718295115018e-06]","[-0.08042535429198705, 0.1285460338017587, -1.0288718295115018e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,9.322270127659777,120,1,9.322270127659777
positive_0p10_left_early_native_strong_ice,positive,left,left,121,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08053493115122734, 0.1304233414210248, -7.866893807023656e-06]","[-0.08071551720443604, 0.13335700053045357, -2.5417260823556997e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.277551471834666,125,4,8.079140372679309
positive_0p10_left_early_native_strong_ice,positive,left,left,126,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.0808047264104308, 0.13540858304259848, -1.1143035175659177e-05]","[-0.08102028957071661, 0.13974021707880901, -1.290970421258253e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.208582124446849,131,5,8.036898144690369
positive_0p10_left_early_native_strong_ice,positive,left,left,132,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08108534173763915, 0.1420115108198668, -8.498303951026687e-06]","[-0.08122596339706722, 0.14802078791756393, -9.152631229455976e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.058196995123124,138,6,7.88235696029457
positive_0p10_left_early_native_strong_ice,positive,left,left,140,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08127837237529112, 0.15184730242834077, -5.763658575935748e-06]","[-0.08135699656697837, 0.1557946360601689, -7.262616291109358e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.1877086611819117,144,4,3.176209481612812
positive_0p10_left_early_native_strong_ice,positive,left,left,101,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08992310898315248, 0.0959551126699405, -1.4363349532850456e-05]","[0.08631488978581253, 0.13542172585009216, -8.46708144552899e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,8.573281246132776,149,48,7.629473349625607
positive_0p10_left_early_native_strong_ice,positive,left,left,149,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08158155301881287, 0.16401237120336867, -2.907963794568369e-06]","[-0.08161474455044326, 0.16543030439159068, -2.6806133255896647e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.7085084831201445,151,2,1.8542542415600722
positive_0p10_left_early_native_strong_ice,positive,left,left,153,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08168763402779411, 0.16975276354604996, -2.2676596528603543e-06]","[-0.08168763402779411, 0.16975276354604996, -2.2676596528603543e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.594816679890577,154,1,3.594816679890577
positive_0p10_left_early_native_strong_ice,positive,left,left,150,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08623434475829078, 0.1380134688878323, -1.2023905493208087e-05]","[0.0860659811672797, 0.14335394988527034, -1.3191599320103164e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,7.734068464367258,155,5,7.12041305849043
positive_0p10_left_early_native_strong_ice,positive,left,left,156,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08599369211016866, 0.14610096689910348, -1.911466557633079e-05]","[0.08593778438767524, 0.15314731309680582, -3.859139403608602e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,6.70277881855516,162,6,6.141377448034056
positive_0p10_left_early_native_strong_ice,positive,left,left,163,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08573455358106208, 0.15599672456003433, -3.210723454963316e-05]","[0.08450512029127744, 0.16580808427510793, -2.334327436835648e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,5.159390869552949,171,8,5.099562668196585
positive_0p10_left_early_native_strong_ice,positive,left,left,172,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08409480682552223, 0.16853733013016556, -1.7317533049926448e-06]","[0.08409480682552223, 0.16853733013016556, -1.7317533049926448e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,4.936226652022889,173,1,4.936226652022889
positive_0p10_left_early_native_strong_ice,positive,left,left,174,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08365044679091066, 0.17123655130417573, -1.4720198412226937e-05]","[0.08276949396083078, 0.17647216361122525, -1.141379172051038e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,4.83709811587917,179,5,4.73986137338122
positive_0p10_left_early_native_strong_ice,positive,left,left,180,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.08232529417681955, 0.17900244537363297, -2.146982135506348e-06]","[0.08232529417681955, 0.17900244537363297, -2.146982135506348e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,0.0,181,1,0.0
positive_0p10_left_early_native_strong_ice,positive,left,right,148,right_foot_contact_1,32,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[-0.0654253243256927, -0.09119732490223889, -8.181731775240564e-05]","[-0.0619777591706252, -0.09317986354296884, -1.416521991096098e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,4,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,37,mjINT_EULER,model.pair_friction before mj_step,False,52.95175108020733,213,65,24.42882604381393
positive_0p10_left_early_native_strong_ice,positive,left,right,165,right_foot_contact_3,34,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[0.10774848583060032, -0.09193933375232886, -0.00026347396523260236]","[0.10806640936387918, -0.09269861736207291, -4.674133144243198e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,6,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,33,41,mjINT_EULER,model.pair_friction before mj_step,False,11.232842900679504,219,54,2.5179770528407244
positive_0p10_left_early_native_strong_ice,positive,left,right,165,right_foot_contact_4,35,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[0.10627986369684633, -0.1519213133587889, -0.0002997765768799898]","[0.10661565293078618, -0.1534152691446728, -6.570290375998433e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,7,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,33,45,mjINT_EULER,model.pair_friction before mj_step,False,34.54104881270276,453,288,13.988957509275016
positive_0p10_left_early_native_strong_ice,positive,left,right,148,right_foot_contact_2,33,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[-0.06625499638198007, -0.14119043997605768, -7.708722990458494e-05]","[-0.0631833718797612, -0.14392545583937139, -5.548410725031427e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,5,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,41,mjINT_EULER,model.pair_friction before mj_step,False,84.68764579558216,459,311,17.752214513408603
positive_0p10_left_early_native_strong_ice,positive,left,right,334,right_foot_contact_1,32,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[-0.061971544922794886, -0.09363204741593686, -4.311437804074836e-05]","[-0.06194949896649782, -0.09361759093409866, -3.761924708686748e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,4,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,45,mjINT_EULER,model.pair_friction before mj_step,False,32.10487222521508,544,210,14.19221157442978
positive_0p10_left_early_native_strong_ice,positive,left,right,333,right_foot_contact_3,34,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[0.10809848610126743, -0.09304557630270444, -3.142724190496882e-05]","[0.10807038074939745, -0.09310785673893798, -3.844103188364867e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,6,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,33,49,mjINT_EULER,model.pair_friction before mj_step,False,34.45098681632197,545,212,18.753187957061936
positive_0p10_left_early_native_strong_ice,positive,left,left,525,left_foot_contact_1,17,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.0223933523466735, 0.2287235563212267, -0.0001990194028383685]","[-0.024135946323294077, 0.2547039795945204, -3.2809856528925874e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,0,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,15.227934306634596,570,45,7.616403550007438
positive_0p10_left_early_native_strong_ice,positive,left,left,520,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.022876198213050425, 0.17807487591407078, -0.00019771257231360195]","[-0.02539348991235013, 0.20720764973472353, -2.395094198170966e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,12.852339537635558,572,52,8.604071332370621
