run_id,role,speed_mps,target_foot,target_phase,profile,seed,duration_s,sample_count,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,full_trace_sha256,first_patch_contact_sample,patch_active_contact_count,intervention_activation_physics_steps,effective_patch_friction_mean,target_tangential_force_peak_n,target_anchor_drift_max_m,target_physical_onset_sample,contralateral_physical_onset_sample,actual_first_affected_foot,contralateral_contamination,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,patch_base_double_contact_count,discarded,relabeled,retained,pair_id,severity,pair_parity_sha256,collision_geometry_sha256,actual_onset_phase,touchdown_to_onset_ms,valid_target_positive,air_event_counted,post_fall_event_counted,unique_pilot_run,replay_of,deterministic_replay_match
positive_0p10_left_late_moderate_ice_preregistered,positive,0.1,left,late,moderate_ice_preregistered,202608405,3.0,3000,f986ae99f04530408762190bc12a197486b593b4d824701b60c744514a92fa4d,442356579d6333582360c92a4be1a7128b0892133c3bf810123aa68071065bc0,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,bb4c23460441fff3384e940b1515cdc7c637c2fde6dd5993e9ac9e40ec39726d,36,1570,969,0.7231210191082802,167.0131649194184,0.037622902542352676,,,none,False,False,,,,0,0,False,False,True,pilot_pair_05,moderate_ice_preregistered,c83d0d373ca0b2383c2ad6e3044a909a2e5cec00a88691f7e4fab622fd4788a5,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
control_0p10_left_late_moderate_ice_preregistered,control,0.1,left,late,hard_control,202608405,3.0,3000,f986ae99f04530408762190bc12a197486b593b4d824701b60c744514a92fa4d,442356579d6333582360c92a4be1a7128b0892133c3bf810123aa68071065bc0,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,a67169f4a586a8f68a582cb1c93f9f26a80f1963e890ea9843ada5060f82d6d6,36,1607,0,1.0,110.92354933231968,0.002029123017564416,,,none,False,False,,,,0,0,False,False,True,pilot_pair_05,moderate_ice_preregistered,c83d0d373ca0b2383c2ad6e3044a909a2e5cec00a88691f7e4fab622fd4788a5,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_right_early_native_strong_ice,positive,0.1,right,early,native_strong_ice,202608406,3.0,3000,8d461374113bc91ce0572c0d8fefb7a9dc944e8f33f95c0e845ac9bba16332c6,110fb41ed331ab2c582cdbfd5d02d3885cb2e355eee2b5ae50f2a12c45e20870,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,a3104f5ca4555f73486bed1603fd19cc82da899b6fa10cd50d69d392c12c6efd,43,867,6000,0.05,90.63013668462112,0.2202172726392746,284,,right,False,True,1406,1.4069999999999006,fallen_base_height,1594,0,False,False,True,pilot_pair_06,native_strong_ice,45c640a062f69b93d651f0eb9088e7a4a01a0f4c1a0c5436f0c199d466c83ba2,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,early,76,True,False,False,True,,
control_0p10_right_early_native_strong_ice,control,0.1,right,early,hard_control,202608406,3.0,3000,8d461374113bc91ce0572c0d8fefb7a9dc944e8f33f95c0e845ac9bba16332c6,110fb41ed331ab2c582cdbfd5d02d3885cb2e355eee2b5ae50f2a12c45e20870,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,1cf24b827ffe18b31f6b07c1db0268c7ebb1b861a8d7bc8a4753f6f21522a040,43,1805,0,1.0,160.16993519743312,0.006401200778782368,,,none,False,False,,,,0,0,False,False,True,pilot_pair_06,native_strong_ice,45c640a062f69b93d651f0eb9088e7a4a01a0f4c1a0c5436f0c199d466c83ba2,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_right_early_moderate_ice_preregistered,positive,0.1,right,early,moderate_ice_preregistered,202608407,3.0,3000,b05464934ba1f498adb8656a84a78e00b9763d1564e84982e8ce4375e9c90f72,b073c4ce33512d0b226e91e52c95b73ba6e8ddc56a90e6325169964d935358b3,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,146a9ee442d251635c212e34f92bf8597e6960556952a970bee6c4606ddefa2b,43,871,6000,0.09999999999999999,173.48378860091745,0.0937734842300415,805,,right,False,True,1763,1.7639999999998612,fallen_base_height,1237,0,False,False,True,pilot_pair_07,moderate_ice_preregistered,ae7d3c5675fa5dabf0b1338a1889b2c83a50a91e18547938f2fa060fddf79131,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,early,71,True,False,False,True,,
control_0p10_right_early_moderate_ice_preregistered,control,0.1,right,early,hard_control,202608407,3.0,3000,b05464934ba1f498adb8656a84a78e00b9763d1564e84982e8ce4375e9c90f72,b073c4ce33512d0b226e91e52c95b73ba6e8ddc56a90e6325169964d935358b3,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,cb237f490bba40c77d8db77ca39b55adee2875c6c4d367e5ac7b7bb5a7169f86,43,1805,0,1.0,160.12421028089528,0.0063995374366641045,,,none,False,False,,,,0,0,False,False,True,pilot_pair_07,moderate_ice_preregistered,ae7d3c5675fa5dabf0b1338a1889b2c83a50a91e18547938f2fa060fddf79131,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_right_middle_native_strong_ice,positive,0.1,right,middle,native_strong_ice,202608408,3.0,3000,4fc58a6bf5c5ef8675d75143fbb06760a1914b23d7bff807927751ecc7bbe5bc,597dfba6927821e1bffb60a2e894c02691e4b078bd78f18b112f64bb4933eff1,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,eb6b6cfe18fbd72a8748a47ac057e5805a09d216fa29ad9d897d655015413f9d,43,1570,1336,0.6000318471337579,305.1307551137804,0.12009981274604797,366,,right,False,False,,,,0,0,False,False,True,pilot_pair_08,native_strong_ice,e4767cf2f82e2929ebf5ef786a89f53d21e7644bfcfe5f1afc6b0d505eef69b8,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,middle,168,True,False,False,True,,
control_0p10_right_middle_native_strong_ice,control,0.1,right,middle,hard_control,202608408,3.0,3000,4fc58a6bf5c5ef8675d75143fbb06760a1914b23d7bff807927751ecc7bbe5bc,597dfba6927821e1bffb60a2e894c02691e4b078bd78f18b112f64bb4933eff1,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,6d8032b7e493d3fe11221545e424139b6f36019319134f85b84e7840e132ccaa,43,1805,0,1.0,160.09274674753922,0.006416506599634886,,,none,False,False,,,,0,0,False,False,True,pilot_pair_08,native_strong_ice,e4767cf2f82e2929ebf5ef786a89f53d21e7644bfcfe5f1afc6b0d505eef69b8,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_right_middle_moderate_ice_preregistered,positive,0.1,right,middle,moderate_ice_preregistered,202608409,3.0,3000,e1a83b38a9f6a2b85eb80233de48a86b90ebcaf700019495778be64b742f35e3,c8c20e5ef46ee6f1af20c2299d2a64e04af7f9bf0a479bef317d3506cc8adff1,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,8e9fda2bf8a43ec78d7ba9ea1ac6f92750d15bd259b73330f42f46f4c762369f,43,1677,1467,0.6093023255813953,250.99175137190008,0.08127611875534058,423,,right,False,False,,,,0,0,False,False,True,pilot_pair_09,moderate_ice_preregistered,b88d5409dcbe7c7b591a791304b2000aaeb3962ee4b5281b0a4deb4f30ebb8c7,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,middle,225,True,False,False,True,,
control_0p10_right_middle_moderate_ice_preregistered,control,0.1,right,middle,hard_control,202608409,3.0,3000,e1a83b38a9f6a2b85eb80233de48a86b90ebcaf700019495778be64b742f35e3,c8c20e5ef46ee6f1af20c2299d2a64e04af7f9bf0a479bef317d3506cc8adff1,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,4422df59f255c3b3cd93dddb71ad09623d5b418de8d40aa24f1df425b9d562a0,43,1805,0,1.0,160.11629798440103,0.006403768435120583,,,none,False,False,,,,0,0,False,False,True,pilot_pair_09,moderate_ice_preregistered,b88d5409dcbe7c7b591a791304b2000aaeb3962ee4b5281b0a4deb4f30ebb8c7,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
