run_id,pair_id,role,profile,status,full_trace_sha256
positive_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,positive,moderate_ice_preregistered,completed_and_retained,8cc3cefd89c597aca4b4a092ba2ef922789983e3bef1f08866a16f0234b3b8d8
control_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,control,hard_control,completed_and_retained,1d0eba9e3dbefa00e3cd55fa36f298516f3accf9d7268c7f55b5c5b66f56eaa8
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,native_strong_ice,completed_and_retained,b70a7fca2514efef26761794c6078ca55a6bc0174dfbecb9388d30fdb716caf2
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,hard_control,completed_and_retained,3ba901a2c7ab1a33b33c7adfe3d713135879226e287585ab5e4ef5845434efb2
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,moderate_ice_preregistered,completed_and_retained,c56f0a130e4015389cab218966be4d2aa6da414d0d8ce9c768111cc4407ed16c
control_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,control,hard_control,completed_and_retained,b394aa13c2458c0e97ea5c91b9c8ef0b9c8760d20229b908dff5a8da5fefee2c
positive_0p20_right_middle_native_strong_ice,pilot_pair_20,positive,native_strong_ice,completed_and_retained,839e8009e4607e5154c4a6d2d3617850649102b724cb73c0220d1c1f07fb6ea8
control_0p20_right_middle_native_strong_ice,pilot_pair_20,control,hard_control,completed_and_retained,10c230bca5144eab4dc7a9043eb2fed3a9e3eef941b1405ac7b635703aae793d
positive_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,positive,moderate_ice_preregistered,completed_and_retained,c12821457c78a75bd210638de287ec71330a270a97a0fc77c293b5d390b33c34
control_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,control,hard_control,completed_and_retained,0e099985c3184bb5633254a6f694778bbddda8815ef6fc96d68ed31703de4dcd
positive_0p20_right_late_native_strong_ice,pilot_pair_22,positive,native_strong_ice,completed_and_retained,370d102e618610ba415a09e4ba781c4600687088956d0b1215c5b99ee51727b4
control_0p20_right_late_native_strong_ice,pilot_pair_22,control,hard_control,completed_and_retained,5b8f55d3baa459e9320672a33fc3323ce1e95412e6a5281fb1ad2a7aa2b4a1dd
positive_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,positive,moderate_ice_preregistered,completed_and_retained,d20b7934c333729d46aa4120e3e5e4f154664376073f1da42f4c511fe0e8ecab
control_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,control,hard_control,completed_and_retained,227e2686df01a862d21d48d2102753cb8ec3745ae4d0f487fa71b9bd0ecdb6e2
