detector,window_ms,condition,evaluation_domain,train_samples,train_runs,validation_samples,validation_runs,class_balance,normalization_source,seed,feature_definition,parameters,endpoint_balanced_accuracy,endpoint_recall,endpoint_false_positive_rate,confusion_json,walking_normal_fp_runs,walking_positive_run_recall,walking_anticipation_runs,reload_parity,production_candidate
slip,10,unified_shared_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8335943599078526,0.7521008403361344,0.08491212052042912,"{""fn"": 59, ""fp"": 744, ""tn"": 8018, ""tp"": 179}",,,,True,False
slip,10,unified_shared_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8897230036064203,0.8992805755395683,0.11983456832672755,"{""fn"": 70, ""fp"": 3477, ""tn"": 25538, ""tp"": 625}",9,1.0,3,True,False
slip,10,unified_domain_specific_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8629428260690262,0.8361344537815126,0.1102488016434604,"{""fn"": 39, ""fp"": 966, ""tn"": 7796, ""tp"": 199}",,,,True,False
slip,10,unified_domain_specific_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8974347180880144,0.8906474820143885,0.09577804583835947,"{""fn"": 76, ""fp"": 2779, ""tn"": 26236, ""tp"": 619}",9,1.0,3,True,False
slip,10,gait_state_routed_walking,walking_v02,5508,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,324,0.8461749504411635,0.7741007194244605,0.08175081854213338,"{""fn"": 157, ""fp"": 2372, ""tn"": 26643, ""tp"": 538}",9,1.0,3,True,False
slip,20,walking_only,walking_v02,5508,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.8880778609922677,0.8733812949640288,0.09722557297949337,"{""fn"": 88, ""fp"": 2821, ""tn"": 26194, ""tp"": 607}",9,1.0,3,True,False
slip,20,controlled_only,controlled_validation,450,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.8957890163597966,0.8907563025210085,0.0991782698014152,"{""fn"": 26, ""fp"": 869, ""tn"": 7893, ""tp"": 212}",,,,True,False
slip,20,controlled_only,walking_v02,450,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.5393755648591587,0.4287769784172662,0.3500258486989488,"{""fn"": 397, ""fp"": 10156, ""tn"": 18859, ""tp"": 298}",9,1.0,3,True,False
slip,20,walking_only,controlled_validation,5508,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.5,0.0,0.0,"{""fn"": 238, ""fp"": 0, ""tn"": 8762, ""tp"": 0}",,,,True,False
slip,20,unified_shared_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.866081378910843,0.8361344537815126,0.10397169595982653,"{""fn"": 39, ""fp"": 911, ""tn"": 7851, ""tp"": 199}",,,,True,False
slip,20,unified_shared_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8979901241853321,0.9064748201438849,0.11049457177322075,"{""fn"": 65, ""fp"": 3206, ""tn"": 25809, ""tp"": 630}",9,1.0,3,True,False
slip,20,unified_domain_specific_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8509654946205828,0.8109243697478992,0.10899338050673363,"{""fn"": 45, ""fp"": 955, ""tn"": 7807, ""tp"": 193}",,,,True,False
slip,20,unified_domain_specific_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8978439581610603,0.8920863309352518,0.09639841461313114,"{""fn"": 75, ""fp"": 2797, ""tn"": 26218, ""tp"": 620}",9,1.0,3,True,False
slip,20,gait_state_routed_walking,walking_v02,5508,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,324,0.8416689705275242,0.7597122302158273,0.0763742891607789,"{""fn"": 167, ""fp"": 2216, ""tn"": 26799, ""tp"": 528}",7,1.0,3,True,False
slip,50,walking_only,walking_v02,5508,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.9176305483271491,0.9194244604316547,0.08416336377735655,"{""fn"": 56, ""fp"": 2442, ""tn"": 26573, ""tp"": 639}",6,1.0,3,True,False
slip,50,controlled_only,controlled_validation,450,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.9070667070754346,0.8991596638655462,0.08502624971467701,"{""fn"": 24, ""fp"": 745, ""tn"": 8017, ""tp"": 214}",,,,True,False
slip,50,controlled_only,walking_v02,450,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.6061528581718462,0.5597122302158274,0.3474065138721351,"{""fn"": 306, ""fp"": 10080, ""tn"": 18935, ""tp"": 389}",9,1.0,3,True,False
slip,50,walking_only,controlled_validation,5508,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.5,0.0,0.0,"{""fn"": 238, ""fp"": 0, ""tn"": 8762, ""tp"": 0}",,,,True,False
slip,50,unified_shared_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8910377892311911,0.8739495798319328,0.09187400136955033,"{""fn"": 30, ""fp"": 805, ""tn"": 7957, ""tp"": 208}",,,,True,False
slip,50,unified_shared_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.9193401577204547,0.9525179856115108,0.11383767017060141,"{""fn"": 33, ""fp"": 3303, ""tn"": 25712, ""tp"": 662}",9,1.0,3,True,False
slip,50,unified_domain_specific_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8926821127903342,0.8781512605042017,0.09278703492353343,"{""fn"": 29, ""fp"": 813, ""tn"": 7949, ""tp"": 209}",,,,True,False
