detector,window_ms,domain,task,region,samples,score_mean,score_p10,score_p50,score_p90,positive_samples,endpoint_balanced_accuracy,endpoint_recall,endpoint_fpr,causal_input_future_samples,future_used_for_target_only,standardized_mean_abs_shift
slip,20,walking_v02,confirmed_event,touchdown_transient,2002,0.39467772659598793,0.009919192583292944,0.11649308096648939,0.9975727531107289,,,,,,,
slip,20,walking_v02,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,20,walking_v02,risk_horizon_20ms,eligible_known_horizon,29651,0.14592675093154348,,,,969,0.8988989905248319,0.8957688338493293,0.09797085279966529,0,True,
slip,20,walking_v02,risk_horizon_50ms,eligible_known_horizon,29593,0.1604400743039437,,,,1323,0.9108313474350161,0.9145880574452003,0.09292536257516802,0,True,
slip,20,walking_v02,risk_horizon_100ms,eligible_known_horizon,29233,0.1732372988884051,,,,1660,0.9078370494271722,0.9048192771084337,0.08914517825408914,0,True,
slip,20,domain_shift,confirmed_event,controlled_vs_walking_feature_shift,29710,,,,,,,,,,,0.40816378593444824
slip,50,controlled_validation,confirmed_event,normal_stable,7300,0.0033039748086619147,0.002493160845927244,0.0029869876976938697,0.003361690954493759,,,,,,,
slip,50,controlled_validation,confirmed_event,pre_onset,707,0.0041116444907657946,0.00285386118783069,0.003138062948129027,0.005928406095135718,,,,,,,
slip,50,controlled_validation,confirmed_event,near_onset,340,0.007868820924903158,0.002975942738957155,0.0058230208993764136,0.014485624873078475,,,,,,,
slip,50,controlled_validation,confirmed_event,post_oracle_onset,653,0.01673701017878095,0.005237183666020012,0.012964055945565921,0.03333400114195533,,,,,,,
slip,50,controlled_validation,confirmed_event,AIR,0,,,,,,,,,,,
slip,50,controlled_validation,confirmed_event,touchdown_transient,0,,,,,,,,,,,
slip,50,controlled_validation,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,50,walking_v02,confirmed_event,normal_stable,25242,0.019918076288270085,0.000768355013591157,0.0082728405061934,0.04251903628120513,,,,,,,
slip,50,walking_v02,confirmed_event,pre_onset,152,0.5635582984995287,0.01338732519571556,0.6652645150605456,0.9996575745984649,,,,,,,
slip,50,walking_v02,confirmed_event,near_onset,60,0.9857326499466968,0.9543468373820583,0.9981734588925201,0.9998447891853057,,,,,,,
slip,50,walking_v02,confirmed_event,post_oracle_onset,4256,0.6405876457219591,0.0154941466552438,0.8155789589547507,0.995408777491016,,,,,,,
slip,50,walking_v02,confirmed_event,AIR,21406,0.0785796368161702,0.000483443692032898,0.019317577405925372,0.19319878016970463,,,,,,,
slip,50,walking_v02,confirmed_event,touchdown_transient,2002,0.3634938003094859,0.004899096357685099,0.0687425459280774,0.9944543066629126,,,,,,,
slip,50,walking_v02,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,50,walking_v02,risk_horizon_20ms,eligible_known_horizon,29651,0.12388670135928968,,,,969,0.9050352432268751,0.8957688338493293,0.0856983473955791,0,True,
slip,50,walking_v02,risk_horizon_50ms,eligible_known_horizon,29593,0.13259961377842583,,,,1323,0.920712511707509,0.9221466364323507,0.08072161301733285,0,True,
slip,50,walking_v02,risk_horizon_100ms,eligible_known_horizon,29233,0.143955017607636,,,,1660,0.9031711220903633,0.8867469879518072,0.08040474377108041,0,True,
slip,50,domain_shift,confirmed_event,controlled_vs_walking_feature_shift,29710,,,,,,,,,,,0.45396509766578674
slip,100,controlled_validation,confirmed_event,normal_stable,3723,0.0015984155278078928,0.001127057182561093,0.0016914909329169418,0.0018038797592698538,,,,,,,
slip,100,controlled_validation,confirmed_event,pre_onset,81,0.0011619529912680624,0.0006145034265369809,0.0009082860947110002,0.0018810467127317026,,,,,,,
slip,100,controlled_validation,confirmed_event,near_onset,217,0.001344002521369185,0.00075753346612716,0.0010230213099322529,0.002454819278322412,,,,,,,
slip,100,controlled_validation,confirmed_event,post_oracle_onset,569,0.0022359739574580283,0.0010671036089315437,0.001817193864823316,0.004041395600603586,,,,,,,
slip,100,controlled_validation,confirmed_event,AIR,0,,,,,,,,,,,
slip,100,controlled_validation,confirmed_event,touchdown_transient,0,,,,,,,,,,,
slip,100,controlled_validation,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,100,walking_v02,confirmed_event,normal_stable,25140,0.006553688380318526,0.000492741166987525,0.002724321959514102,0.011862867103190233,,,,,,,
slip,100,walking_v02,confirmed_event,pre_onset,118,0.39889861861740933,0.030769619666805314,0.27728952324874817,0.9831981670629191,,,,,,,
slip,100,walking_v02,confirmed_event,near_onset,60,0.9077632162738554,0.7769985041068956,0.9792169916494267,0.996891967594253,,,,,,,
slip,100,walking_v02,confirmed_event,post_oracle_onset,4256,0.5994371333620006,0.014664259168995702,0.7911630398587004,0.9966294008828896,,,,,,,
slip,100,walking_v02,confirmed_event,AIR,20732,0.044556663407151025,0.00013990121441220105,0.005847868223245641,0.11235168853758289,,,,,,,
slip,100,walking_v02,confirmed_event,touchdown_transient,1912,0.27107356472608846,0.0005260579359053969,0.014892200935606883,0.9730049407234624,,,,,,,
slip,100,walking_v02,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,100,walking_v02,risk_horizon_20ms,eligible_known_horizon,29515,0.09826417532388616,,,,969,0.8965624581315967,0.8596491228070176,0.066524206543824,0,True,
slip,100,walking_v02,risk_horizon_50ms,eligible_known_horizon,29457,0.11155289811503658,,,,1323,0.9171592074663092,0.8994708994708994,0.06515248453828108,0,True,
slip,100,walking_v02,risk_horizon_100ms,eligible_known_horizon,29097,0.1304579715271885,,,,1626,0.9225084863057869,0.9212792127921279,0.07626224018055404,0,True,
slip,100,domain_shift,confirmed_event,controlled_vs_walking_feature_shift,29574,,,,,,,,,,,0.4992452561855316
