view,probe,evaluation_domain,train_samples,validation_samples,train_runs,seed,parameters,normalization_source,production_candidate,accuracy,macro_accuracy,worst_class_recall,majority_class_prediction_rate,class_recall_json,prediction_distribution_json,collapse
midstance,logistic_regression,static_validation,15522,479,36,20260820,324,walking diagnostic train view only,False,0.25260960334029225,0.25416666666666665,0.0,0.9603340292275574,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.016666666666666666, ""sand"": 1.0}","{""concrete"": 0.0041753653444676405, ""ice"": 0.0, ""marble"": 0.03549060542797495, ""sand"": 0.9603340292275574}",True
midstance,shrinkage_LDA,walking_v02,15522,25621,36,20260820,324,LDA internal covariance; walking train view only,False,0.7249131571757542,0.6065578766020872,0.10121184919210054,0.7923968619491824,"{""concrete"": 0.10121184919210054, ""ice"": 0.9774943735933983, ""marble"": 0.3571912395574622, ""sand"": 0.9903340440653874}","{""concrete"": 0.019124936575465438, ""ice"": 0.10819249834120448, ""marble"": 0.08028570313414778, ""sand"": 0.7923968619491824}",True
midstance,shrinkage_LDA,static_validation,15522,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.25052192066805845,0.2520833333333333,0.0,0.9979123173277662,"{""concrete"": 0.0, ""ice"": 0.008333333333333333, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.0020876826722338203, ""marble"": 0.0, ""sand"": 0.9979123173277662}",True
push_off,logistic_regression,walking_v02,775,1115,36,20260820,324,walking diagnostic train view only,False,0.9291479820627803,0.9256164383561645,0.8866666666666667,0.3775784753363229,"{""concrete"": 0.9466666666666667, ""ice"": 0.9424657534246575, ""marble"": 0.8866666666666667, ""sand"": 0.9266666666666666}","{""concrete"": 0.16860986547085202, ""ice"": 0.30852017937219733, ""marble"": 0.1452914798206278, ""sand"": 0.3775784753363229}",False
push_off,logistic_regression,static_validation,775,479,36,20260820,324,walking diagnostic train view only,False,0.25052192066805845,0.2520833333333333,0.0,0.8851774530271399,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.008333333333333333, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.11482254697286012, ""sand"": 0.8851774530271399}",True
push_off,shrinkage_LDA,walking_v02,775,1115,36,20260820,324,LDA internal covariance; walking train view only,False,0.8053811659192825,0.7231887366818873,0.4666666666666667,0.4412556053811659,"{""concrete"": 0.4666666666666667, ""ice"": 0.9616438356164384, ""marble"": 0.6066666666666667, ""sand"": 0.8577777777777778}","{""concrete"": 0.13542600896860987, ""ice"": 0.3147982062780269, ""marble"": 0.10852017937219731, ""sand"": 0.4412556053811659}",False
push_off,shrinkage_LDA,static_validation,775,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.24843423799582465,0.25,0.0,1.0,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}",True
phase_balanced,logistic_regression,walking_v02,3100,31712,36,20260820,324,walking diagnostic train view only,False,0.8220232088799193,0.8220960548830903,0.7328334648776638,0.43024722502522705,"{""concrete"": 0.7328334648776638, ""ice"": 0.9721634954193094, ""marble"": 0.7700555996822875, ""sand"": 0.8133316595531007}","{""concrete"": 0.20515893037336025, ""ice"": 0.19825302724520685, ""marble"": 0.16634081735620584, ""sand"": 0.43024722502522705}",False
phase_balanced,logistic_regression,static_validation,3100,479,36,20260820,324,walking diagnostic train view only,False,0.2567849686847599,0.25833333333333336,0.0,0.7995824634655533,"{""concrete"": 0.0, ""ice"": 0.016666666666666666, ""marble"": 0.016666666666666666, ""sand"": 1.0}","{""concrete"": 0.027139874739039668, ""ice"": 0.006263048016701462, ""marble"": 0.16701461377870563, ""sand"": 0.7995824634655533}",True
phase_balanced,shrinkage_LDA,walking_v02,3100,31712,36,20260820,324,LDA internal covariance; walking train view only,False,0.725813572149344,0.5976456105319671,0.1473954222573007,0.6971808779011099,"{""concrete"": 0.1473954222573007, ""ice"": 0.9436222692036645, ""marble"": 0.34789515488482925, ""sand"": 0.9516695957820738}","{""concrete"": 0.04026866801210898, ""ice"": 0.1835582744702321, ""marble"": 0.07899217961654895, ""sand"": 0.6971808779011099}",False
