run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,0,36,243,36,,,[],0.001382596092298627,True,,,,0,0,10,13,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,1,563,908,563,,,[],0.0024260736536234617,True,,,,0,0,10,12,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,2,1152,1489,1152,,,[],0.001508158165961504,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,3,1755,2087,1755,,,[],0.0017755876760929823,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,4,2351,2687,2351,,,[],0.0015970647800713778,True,,,,0,0,10,15,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,left,none,5,2950,3000,2950,,,[],0.0016164554981514812,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,0,43,89,43,,,[],0.0019454481080174446,True,,,,0,0,10,19,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,1,199,604,199,,,[],0.006409397814422846,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,2,856,1202,856,,,[],0.004095087759196758,True,,,,0,0,10,12,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,3,1454,1790,1454,,,[],0.0046961065381765366,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,4,2050,2386,2050,,,[],0.004718284122645855,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,left,right,none,5,2650,2985,2650,,,[],0.004738007206469774,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,0,36,243,36,,,[],0.001382596092298627,True,,,,0,0,10,13,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,1,563,908,563,,,[],0.0024260736536234617,True,,,,0,0,10,12,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,2,1152,1489,1152,,,[],0.001508158165961504,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,3,1755,2087,1755,,,[],0.0017755876760929823,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,4,2351,2687,2351,,,[],0.0015970647800713778,True,,,,0,0,10,15,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,left,none,5,2950,3000,2950,,,[],0.0016164554981514812,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,0,43,89,43,,,[],0.0019454481080174446,True,,,,0,0,10,19,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,1,199,604,199,,,[],0.006409397814422846,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,2,856,1202,856,,,[],0.004095087759196758,True,,,,0,0,10,12,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,3,1454,1790,1454,,,[],0.0046961065381765366,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,4,2050,2386,2050,,,[],0.004718284122645855,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,left,right,none,5,2650,2985,2650,,,[],0.004738007206469774,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,0,39,89,39,,,[],0.0006745096761733294,True,,,,0,0,10,19,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,1,304,684,304,,,[],0.007936322130262852,True,,,,0,0,10,13,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,2,944,1296,944,,,[],0.0015836382517591119,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,3,1553,1887,1553,,,[],0.0012036684202030301,True,,,,0,0,10,15,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,4,2151,2486,2151,,,[],0.0015436809044331312,True,,,,0,0,10,15,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,left,none,5,2748,3000,2748,,,[],0.001635655527934432,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,right,none,0,37,328,37,,,[],0.002955615520477295,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,right,none,1,641,984,641,,,[],0.004767450969666243,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,right,none,2,1252,1601,1252,,,[],0.004625815898180008,True,,,,0,0,10,11,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,right,none,3,1849,2187,1849,,,[],0.004637033212929964,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,left,right,none,4,2448,2785,2448,,,[],0.004566985182464123,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,0,39,89,39,,,[],0.0006745096761733294,True,,,,0,0,10,19,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,1,304,684,304,,,[],0.007936322130262852,True,,,,0,0,10,13,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,2,944,1296,944,,,[],0.0015836382517591119,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,3,1553,1887,1553,,,[],0.0012036684202030301,True,,,,0,0,10,15,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,4,2151,2486,2151,,,[],0.0015436809044331312,True,,,,0,0,10,15,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,left,none,5,2748,3000,2748,,,[],0.001635655527934432,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,right,none,0,37,328,37,,,[],0.002955615520477295,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,right,none,1,641,984,641,,,[],0.004767450969666243,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,right,none,2,1252,1601,1252,,,[],0.004625815898180008,True,,,,0,0,10,11,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,right,none,3,1849,2187,1849,,,[],0.004637033212929964,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,left,right,none,4,2448,2785,2448,,,[],0.004566985182464123,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,left,none,0,44,402,44,,,[],0.0055467793717980385,True,,,,0,0,10,12,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,left,none,1,706,1044,706,,,[],0.0014427320566028357,True,,,,0,0,10,12,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,left,none,2,1291,1640,1291,,,[],0.001337859663181007,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,left,none,3,1899,2230,1899,,,[],0.001453209319151938,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,left,none,4,2496,2833,2496,,,[],0.0014394307509064674,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,0,34,153,34,,,[],0.0009999109897762537,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,1,368,745,368,,,[],0.008004751987755299,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,2,995,1328,995,,,[],0.003950520884245634,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,3,1337,1341,1337,,,[],0.0004881025233771652,False,,,,0,0,4,4,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,4,1599,1943,1599,,,[],0.004500478506088257,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,5,2193,2535,2193,,,[],0.004906923975795507,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,6,2538,2541,2538,,,[],0.00016129299183376133,False,,,,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,left,right,none,7,2795,3000,2795,,,[],0.004427415318787098,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,left,none,0,44,402,44,,,[],0.0055467793717980385,True,,,,0,0,10,12,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,left,none,1,706,1044,706,,,[],0.0014427320566028357,True,,,,0,0,10,12,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,left,none,2,1291,1640,1291,,,[],0.001337859663181007,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,left,none,3,1899,2230,1899,,,[],0.001453209319151938,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,left,none,4,2496,2833,2496,,,[],0.0014394307509064674,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,0,34,153,34,,,[],0.0009999109897762537,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,1,368,745,368,,,[],0.008004751987755299,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,2,995,1328,995,,,[],0.003950520884245634,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,3,1337,1341,1337,,,[],0.0004881025233771652,False,,,,0,0,4,4,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,4,1599,1943,1599,,,[],0.004500478506088257,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,5,2193,2535,2193,,,[],0.004906923975795507,True,,,,0,0,10,10,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,6,2538,2541,2538,,,[],0.00016129299183376133,False,,,,0,0,3,3,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,left,right,none,7,2795,3000,2795,,,[],0.004427415318787098,True,,,,0,0,10,10,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,positive,left,left,none,0,36,243,36,,,[],0.0013557551428675652,True,,,,0,0,10,13,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,positive,left,left,none,1,563,908,563,,,[],0.0020174244418740273,True,,,,0,0,10,12,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,positive,left,left,none,2,1152,1489,1152,,,[],0.0015437700785696507,True,,,,0,0,10,10,False
