outer_fold,inner_fold,reason,run_id,variation,outer_validation_member,endpoint,foot,terrain,speed_mps,phase,contact_age_ms,ipsilateral_force,contralateral_force,next_onset_distance_ms,previous_episode_distance_ms,normal_score,early_precursor_score,actionable_score,active_evidence_score,foot_score
0,0,high_normal,sand_solref_interpolation_2of3_0p10_v04,4,False,1879,left,sand,0.1,3,77,547.071044921875,418.5978698730469,-1,-1,1.4661019733962908e-17,7.75907251028011e-26,0.9478033860348358,0.052196613965164264,0.9999998317136743
0,0,high_normal,ice_native_0p15_v01,1,False,1969,right,ice,0.15,2,11,304.04156494140625,0.0,-1,190,7.02323008115496e-09,7.48069929533799e-14,0.9482974658386549,0.05170252713804033,0.999576053569215
0,0,high_normal,ice_native_0p15_v04,4,False,2439,right,ice,0.15,2,11,81.00281524658203,317.4919738769531,-1,194,7.670517607763202e-12,8.48023366488838e-09,0.9505328662901061,0.049467125221989705,0.9977744734975893
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1299,right,sand,0.1,3,93,246.4088592529297,398.8518981933594,-1,-1,0.0002019787231763997,0.00407382527431969,0.956868092772399,0.03885610323010504,1.9986436268956028e-05
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,False,1219,right,sand,0.1,3,34,68.27326202392578,364.8115234375,-1,-1,8.483494757538934e-05,0.040687346589622204,0.9592276803314866,1.3813131580152424e-07,4.989948950301163e-06
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,False,1589,left,sand,0.15,3,38,144.2490692138672,127.71153259277344,-1,-1,2.6260371049400852e-14,1.0455701369018092e-23,0.9611611181729496,0.038838881827024226,2.334919610739698e-06
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2559,left,sand,0.1,3,220,319.47821044921875,132.8009033203125,-1,-1,0.009378837065711337,2.833979088132937e-09,0.9628530692219691,0.027768090878340614,0.029458756364201356
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2659,left,sand,0.1,3,320,501.7324523925781,492.5901794433594,-1,-1,1.0461737680517782e-07,0.035787179479038374,0.9637205915895363,0.0004921243140483966,0.24586092125655273
0,0,high_normal,ice_native_0p20_v01,1,False,2699,left,ice,0.2,3,54,512.808349609375,0.0,-1,340,1.5885194358966748e-13,1.1078517331064642e-07,0.9638617741957805,0.03613811501888744,0.9141269962185103
0,0,high_normal,ice_native_0p10_v01,1,False,489,right,ice,0.1,4,52,98.55247497558594,196.05029296875,-1,222,6.88681288060494e-11,2.6129724940678105e-05,0.9689469536455702,0.03102691656062106,0.9947580540919498
