family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,50,1154,1235,1,True,True,1079,75,0,False,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,58,1922,1925,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,72,2503,2597,2,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,left,78,2997,3000,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,4,358,372,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,15,1075,1198,1,True,True,1009,66,0,True,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,25,1503,1639,1,True,True,1459,44,0,True,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,49,2339,2344,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,69,2627,2764,1,True,True,2609,18,0,True,False
S4-A,202608221,1,ice_native_0p20_v04,4,ice,0.2,right,70,2805,2809,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,1,250,280,1,True,True,229,21,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,2,326,456,2,True,False,,,,False,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,12,931,975,1,True,False,,,,False,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,18,1475,1629,7,True,True,1409,66,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,24,2101,2284,4,True,True,2059,42,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,left,45,2657,2765,1,True,True,2579,78,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,0,147,160,2,True,False,,,,,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,6,435,682,3,True,False,,,,,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,21,1097,1244,1,True,True,1039,58,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,30,1645,1724,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,31,1833,1863,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,32,1920,1924,1,True,True,1909,11,0,True,False
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,39,2323,2505,5,True,True,2299,24,0,True,False
