optimizer,learning_rate,max_iterations,iterations,converged,train_rows,retained_rows,rows_dropped_for_balance,effective_weighted_mass,effective_sample_size,weight_min,weight_max,hard_negative_rows,train_accuracy,train_log_loss,family,seed,fold
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8924204237841874,1.3642400510986312,S4-A,202608221,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9216095921518758,1.318686921363642,S4-A,202608221,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9243230499797925,1.2429682229408885,S4-A,202608221,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8904601885559601,1.4006979312090917,S4-A,202608222,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.91570533200109,1.3206489774485568,S4-A,202608222,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9213929678027751,1.2483707047969286,S4-A,202608222,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8941939699430599,1.3331017168296426,S4-A,202608223,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.918839131619584,1.2852328930877257,S4-A,202608223,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9218981543850195,1.2341560067532402,S4-A,202608223,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8929804909922524,1.6298779946107387,S4-B,202608221,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9295576346625488,1.3028283013705086,S4-B,202608221,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9261754007813553,1.228820999865227,S4-B,202608221,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8930738355269299,1.6417079247777255,S4-B,202608222,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9268325915160324,1.3015928567317732,S4-B,202608222,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9245924828236562,1.2712361899180502,S4-B,202608222,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8919537011108,1.59509720311646,S4-B,202608223,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9296484694340994,1.2467249009425792,S4-B,202608223,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9275899232116395,1.2221586755871892,S4-B,202608223,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8932605245962849,1.6135582247105456,S4-C,202608221,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9298301389772005,1.2577159940369547,S4-C,202608221,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9253671022497643,1.319682415585249,S4-C,202608221,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8945206758144311,1.5603978283439814,S4-C,202608222,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.929603052048324,1.276950487056348,S4-C,202608222,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9273204903677759,1.2502619605448033,S4-C,202608222,2
LBFGS,strong_wolfe_line_search,400,400,False,21426,21426,0,21426.0,773.1964082253095,1.2057929289788666e-13,312.1006164847077,595,0.8935872304676561,1.6048197107898152,S4-C,202608223,0
LBFGS,strong_wolfe_line_search,400,400,False,22018,22018,0,22018.0,646.9553377787954,4.826539988748968e-16,391.43196732151955,566,0.9296484694340994,1.292342383656096,S4-C,202608223,1
LBFGS,strong_wolfe_line_search,400,400,False,29692,29692,0,29692.000000000004,1165.8295798991924,2.7429010265662764e-16,221.23469505523502,582,0.9249966320894517,1.2453139792183272,S4-C,202608223,2
