family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,0,concrete_native_0p10_v03,left,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p10_v03,right,133,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p10_v03,left,104,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p10_v03,right,129,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p10_v03,left,94,53,3,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p10_v03,right,45,51,5,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p10_v03,left,104,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p10_v03,right,117,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p10_v03,left,103,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p10_v03,right,108,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,left,103,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,right,107,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,left,101,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,right,102,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p15_v03,left,111,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p15_v03,right,134,9,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p15_v03,left,111,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p15_v03,right,132,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p15_v03,left,104,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p15_v03,right,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p15_v03,left,117,44,4,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p15_v03,right,68,59,2,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p15_v03,left,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p15_v03,right,119,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p15_v03,left,59,8,3,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p15_v03,right,133,12,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,left,56,6,2,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,right,117,13,1,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,left,129,10,1,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,right,159,6,1,0,0,0,0,0,-1.0
