comparison_group,run_id,pair_id,speed_mps,target_foot,target_phase,severity,variation_index,source_valid,failure_reason,diagnostic_episode_id,touchdown_timestamp_s,first_patch_contact_timestamp_s,patch_contact_duration_ms,remaining_stance_after_patch_entry_ms,low_friction_active_duration_ms,normal_contact_force_mean_n,normal_contact_force_peak_n,tangential_contact_force_mean_n,tangential_contact_force_peak_n,friction_cone_utilization_mean,friction_cone_utilization_peak,anchor_drift_rate_mps,maximum_anchor_drift_m,target_foot_velocity_mean_mps,target_foot_velocity_peak_mps,contralateral_support_load_mean_n,patch_entry_position_xyz,patch_exit_position_xyz,physical_onset_margin_m,estimated_onset_after_contact_loss_ms,fall_occurred,first_fall_censor_boundary,model_score_used
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_083,0.2,left,mid_loading_early_stance,moderate_ice_preregistered,2,True,,10,1.8539999999998513,1.8539999999998513,343,343,146,291.22897510730985,363.06290032749075,28.946150476896634,36.22781006042817,0.991876637085942,1.0000000000000002,0.2549120747461551,0.08361116051673889,0.43190813064575195,0.7951716780662537,0.0,"[0.2449132651090622, 0.28813546895980835, 0.036059051752090454]","[0.27516135573387146, 0.3651159107685089, 0.037052445113658905]",0.03361116051673889,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p20_left_mid_late_stance_native_strong_ice_v0,v5_pair_084,0.2,left,mid_late_stance,native_strong_ice,0,True,,8,1.7219999999998659,1.7219999999998659,280,280,88,284.59385070280536,355.5798910028213,14.22969253514027,17.778994550141064,1.0,1.0000000000000002,0.24939903191157747,0.0698317289352417,0.6827295422554016,1.3735380172729492,0.0,"[0.2532442510128021, 0.22979417443275452, 0.03690443933010101]","[0.2628699243068695, 0.29895931482315063, 0.037079714238643646]",0.019831728935241696,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p20_left_mid_late_stance_native_strong_ice_v1,v5_pair_085,0.2,left,mid_late_stance,native_strong_ice,1,True,,4,1.539999999999886,1.539999999999886,289,289,99,237.19586002658357,343.5573422573435,11.859793001329182,17.17786711286718,1.0,1.0000000000000002,0.21612391546110796,0.06245981156826019,0.6107728481292725,1.0375088453292847,24.192466735839844,"[0.22430650889873505, 0.2376270294189453, 0.03515838086605072]","[0.215937077999115, 0.29952356219291687, 0.03761736676096916]",0.01245981156826019,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p20_left_mid_late_stance_native_strong_ice_v2,v5_pair_086,0.2,left,mid_late_stance,native_strong_ice,2,False,NO_PHYSICAL_ONSET,2,0.7069999999999775,0.7069999999999775,288,288,98,246.33841374698147,343.9406104876331,12.316920687349077,17.197030524381653,1.0,1.0000000000000002,0.17396436952468422,0.050101738423109055,0.4968728721141815,0.8583402037620544,70.8530502319336,"[0.09674984216690063, 0.08785764873027802, 0.03620999678969383]","[0.08345380425453186, 0.1361629217863083, 0.03559395670890808]",0.00010173842310905179,0.0,False,,False
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_087,0.2,left,mid_late_stance,moderate_ice_preregistered,0,False,NO_PHYSICAL_ONSET,5,1.7559999999998621,1.7559999999998621,310,310,120,266.01936025613674,345.50068737151855,25.62052514359385,33.1193021091039,0.9625582765168857,1.0000000000000002,0.10318310270386358,0.03198676183819771,0.2643645405769348,0.5220426917076111,83.59199523925781,"[0.246633380651474, 0.1528206765651703, 0.03572959452867508]","[0.23137721419334412, 0.18093477189540863, 0.03529539331793785]",-0.018013238161802295,174.5754652629554,False,,False
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_088,0.2,left,mid_late_stance,moderate_ice_preregistered,1,False,NO_PHYSICAL_ONSET,3,0.9189999999999542,0.9189999999999542,344,344,86,302.78035133153304,368.4453118771861,30.27803513315331,36.844531187718616,1.0,1.0000000000000002,0.1342896326088611,0.043509840965270996,0.36282068490982056,0.6515730619430542,0.0,"[0.12555310130119324, 0.2377411425113678, 0.03579799458384514]","[0.13708768784999847, 0.2783125638961792, 0.03623109310865402]",-0.006490159034729007,28.329561326841805,False,,False
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_089,0.2,left,mid_late_stance,moderate_ice_preregistered,2,False,NO_PHYSICAL_ONSET,4,0.6899999999999794,0.6899999999999794,313,313,123,262.3532104911148,352.62666212463995,25.590274045224536,35.26266621246399,0.9673043602510916,1.0000000000000002,0.13198688054998842,0.04131189361214638,0.3241139054298401,0.6354051828384399,87.52400970458984,"[0.07883050292730331, 0.1391558200120926, 0.036011289805173874]","[0.06403931230306625, 0.1777290403842926, 0.03531081601977348]",-0.008688106387853625,65.82553017125905,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_105,0.2,right,mid_late_stance,moderate_ice_preregistered,0,True,,4,1.4239999999998987,1.4239999999998987,301,301,111,261.8797180678205,359.54606320256937,26.099651016286728,35.95460632025693,0.9922066619730947,1.0000000000000002,0.19799566447140768,0.05959669500589371,0.4878939092159271,0.8212152719497681,0.0,"[0.24997426569461823, -0.213613361120224, 0.03712352737784386]","[0.28186747431755066, -0.26395806670188904, 0.038039419800043106]",0.009596695005893704,0.0,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_106,0.2,right,mid_late_stance,moderate_ice_preregistered,1,False,NO_PHYSICAL_ONSET,5,1.8259999999998544,1.8259999999998544,281,281,91,299.18511176666254,366.52075627835484,29.493967425003895,36.65207562783549,0.9839146327114378,1.0000000000000002,0.16000567275858432,0.0449615940451622,0.411776065826416,0.7521637678146362,0.0,"[0.29404592514038086, -0.09806741774082184, 0.03688037022948265]","[0.3253723978996277, -0.1303195059299469, 0.03623240068554878]",-0.005038405954837802,31.48892078620063,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p20_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_107,0.2,right,mid_late_stance,moderate_ice_preregistered,2,False,NO_PHYSICAL_ONSET,6,2.1679999999998913,2.1679999999998913,335,335,78,303.2642033970584,361.5144261566306,30.07280119468125,36.03421784245099,0.9926892795368769,1.0000000000000002,0.15779138853152594,0.04733741655945778,0.4145340621471405,0.8001682162284851,0.0,"[0.39536863565444946, -0.1969550997018814, 0.037206411361694336]","[0.42758795619010925, -0.22962282598018646, 0.03832552582025528]",-0.002662583440542224,0.0,False,,False
