run_id,pair_id,role,timestamp_s,start_sample,foot,sole_geom_name,sole_geom_id,patch_geom_name,patch_geom_id,contact_position_first_xyz,contact_position_last_xyz,patch_inclusion,explicit_pair_id,effective_friction_first,effective_friction_last,effective_sliding_friction_min,effective_sliding_friction_max,contact_dimension,exclude_state,efc_address_min,efc_address_max,normal_contact_force_peak_n,tangential_contact_force_peak_n,friction_configured_before_collision,constraints_constructed_at_configuration,patch_base_double_contact,visual_only_geom,end_sample_exclusive,end_time_s_exclusive,observed_1khz_sample_count,normal_contact_force_mean_n,tangential_contact_force_mean_n,contact_anchor_position_xy,contact_anchor_drift_max_m,block,geometry_candidate,disposition
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.3130000000000002,312,left,left_foot_contact_3,19,slip_patch,2,"[0.1576576928490121, 0.2151586023160782, -0.00029430690988811736]","[0.15920532985685665, 0.21920780686686034, -4.85334003402782e-06]",True,2,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,1.0,3,0,37,37,183.54180208320497,31.993353904633324,True,False,False,False,516,0.5169999999999985,204,76.63091959481844,8.017590625087909,"[0.03524759039282799, 0.17955702543258667]",0.009183534421026707,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.3050000000000002,304,left,left_foot_contact_2,18,slip_patch,2,"[-0.014007284924560715, 0.15558628852193906, -4.4589725907054345e-05]","[-0.00978473061011298, 0.16266029896395717, -1.0149799386072189e-05]",True,1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,1.0,3,0,29,33,192.03082843281456,65.02603420873362,True,False,False,False,520,0.520999999999998,216,87.28296802528021,20.67689608584041,"[0.03524759039282799, 0.17955702543258667]",0.009929877705872059,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.3090000000000002,308,left,left_foot_contact_1,17,slip_patch,2,"[-0.012963457975778692, 0.20717071820841562, -8.026871010674563e-06]","[-0.010278960347279265, 0.21307548572140858, -6.051853928948359e-06]",True,0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,1.0,3,0,29,29,426.95229987731506,108.66981495906904,True,False,False,False,522,0.5229999999999978,214,188.5306177595888,27.884023154805675,"[0.03524759039282799, 0.17955702543258667]",0.010357359424233437,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5179999999999984,517,left,left_foot_contact_3,19,slip_patch,2,"[0.15933904293300027, 0.21952863409538176, -3.3243452960129982e-06]","[0.15964189415797925, 0.22027985035463085, -1.5195627997233174e-05]",True,2,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,37,64.16879405145461,6.416879405145462,True,False,False,False,522,0.5229999999999978,5,38.308185613853865,3.8308185613853865,"[0.03524759039282799, 0.17955702543258667]",0.010357359424233437,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.520999999999998,520,left,left_foot_contact_4,20,slip_patch,2,"[0.16033701598817407, 0.16007501700940407, -1.0191360756139911e-06]","[0.1605158845828758, 0.1605140953779376, -3.0467907675552075e-06]",True,3,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,37,75.68011346388958,7.568011346388959,True,False,False,False,523,0.5239999999999977,3,60.72521422134664,6.072521422134663,"[0.03524759039282799, 0.17955702543258667]",0.010592104867100716,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5249999999999976,524,left,left_foot_contact_4,20,slip_patch,2,"[0.16073047429104376, 0.1609723885023378, -2.2933631707577895e-06]","[0.161082463269011, 0.16167111958954578, -1.3951043302817823e-06]",True,3,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,41,65.18825832489235,6.5188258324892345,True,False,False,False,528,0.5289999999999971,4,49.042784272095744,4.904278427209575,"[0.03524759039282799, 0.17955702543258667]",0.011950979940593243,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5229999999999978,522,left,left_foot_contact_2,18,slip_patch,2,"[-0.009534393838384503, 0.16332528692434856, -4.70067418761877e-06]","[-0.008851848472943957, 0.16482282412150043, -5.8619602180259855e-06]",True,1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,33,248.96012761479562,24.896012761479565,True,False,False,False,529,0.529999999999997,7,216.62079964073624,21.66207996407362,"[0.03524759039282799, 0.17955702543258667]",0.01224242988973856,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5269999999999974,526,left,left_foot_contact_1,17,slip_patch,2,"[-0.009708626500664952, 0.21430286193562542, -5.993041101742813e-06]","[-0.008974038878881818, 0.21601022139665876, -6.6224962412542165e-06]",True,0,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,29,192.7602479296852,19.27602479296852,True,False,False,False,533,0.5339999999999966,7,101.83891328392215,10.183891328392217,"[0.03524759039282799, 0.17955702543258667]",0.013490102253854275,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5279999999999972,527,left,left_foot_contact_3,19,slip_patch,2,"[0.16033789712937507, 0.22166649912750735, -5.11530803196103e-06]","[0.16108552147173638, 0.22330882319892156, -4.1395742646083145e-06]",True,2,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,37,63.28370553115509,6.3283705531155094,True,False,False,False,534,0.5349999999999965,7,37.81037774168477,3.7810377741684773,"[0.03524759039282799, 0.17955702543258667]",0.013825653120875359,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5309999999999969,530,left,left_foot_contact_2,18,slip_patch,2,"[-0.008621034470171374, 0.1653896292827175, -1.2934095435790383e-06]","[-0.008018090516398568, 0.16702462117428868, -3.116589461643615e-06]",True,1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,33,277.5937082508169,27.759370825081692,True,False,False,False,536,0.5369999999999963,6,236.74979447109476,23.674979447109475,"[0.03524759039282799, 0.17955702543258667]",0.01452148612588644,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
