architecture,seed,validation_accuracy,validation_macro_recall,validation_worst_recall,prediction_entropy,balanced_train_rows
T1,202608211,0.5127623699052271,0.5542393558403801,0.43169398907103823,0.8547032811708574,1440
T1,202608212,0.4880516309087738,0.5478002056374512,0.4136316824267391,0.8668521007577865,1440
T1,202608213,0.5838711552997268,0.5829529009592304,0.4083457526080477,0.8633684759822289,1440
T2,202608211,0.5848595848595849,0.5979457102171559,0.4520615996025832,0.7494189959981031,1440
T2,202608212,0.5798592941450085,0.5952668707807376,0.47292598112270245,0.7305181837651912,1440
T2,202608213,0.6549217977789407,0.6090079361501065,0.3611525086934923,0.7409404640825464,1440
