run_id,role,terrain,speed_mps,variation,foot,foot_index,endpoint_sample,timestamp_s,contact_episode_id,physical_episode_index,raw_risk_score,threshold,threshold_crossing,persistence_counter,hysteresis_active_state,contact_loaded,touchdown_age_ms,risk_state,evidence_persistent,activation_sample,reset_event,reset_reason,physical_onset_delta_ms,physical_active,risk_target,normal_mask,air_mask,touchdown_mask,post_fall_mask,valid_prefall_mask,first_fall_sample,violation_index,classification,next_physical_onset_sample,lead_ms,same_episode_repeated_crossing,merge_mismatch,contact_assignment_mismatch,opposite_foot_attribution_mismatch,threshold_chatter,counting_error
ice_native_0p20_v04,slip_candidate,ice,0.2,4,left,0,2399,2.399999999999969,72,,0.9910600553634199,0.999,False,3,True,True,140,True,True,2299,False,none,104,False,False,True,False,False,False,True,,17,genuinely_over_100ms_before_next_independent_physical_episode,2503,104,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,749,0.7499999999999728,15,,0.9991756406060308,0.999,True,3,True,True,33,True,True,749,False,none,326,False,False,True,False,False,False,True,,18,genuinely_over_100ms_before_next_independent_physical_episode,1075,326,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,759,0.7599999999999717,15,,0.9938003895680574,0.999,False,3,True,True,43,True,True,749,False,none,316,False,False,True,False,False,False,True,,19,genuinely_over_100ms_before_next_independent_physical_episode,1075,316,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,769,0.7699999999999706,15,,0.9882547042611289,0.999,False,3,True,True,53,True,True,749,False,none,306,False,False,True,False,False,False,True,,20,genuinely_over_100ms_before_next_independent_physical_episode,1075,306,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,779,0.7799999999999695,15,,0.9954486926149594,0.999,False,3,True,True,63,True,True,749,False,none,296,False,False,True,False,False,False,True,,21,genuinely_over_100ms_before_next_independent_physical_episode,1075,296,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,789,0.7899999999999684,15,,0.995664130229083,0.999,False,3,True,True,73,True,True,749,False,none,286,False,False,True,False,False,False,True,,22,genuinely_over_100ms_before_next_independent_physical_episode,1075,286,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,799,0.7999999999999673,15,,0.9991834874683038,0.999,True,3,True,True,83,True,True,749,False,none,276,False,False,True,False,False,False,True,,23,genuinely_over_100ms_before_next_independent_physical_episode,1075,276,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,809,0.8099999999999662,15,,0.9937876998969786,0.999,False,3,True,True,93,True,True,749,False,none,266,False,False,True,False,False,False,True,,24,genuinely_over_100ms_before_next_independent_physical_episode,1075,266,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,819,0.8199999999999651,15,,0.9976560680604195,0.999,False,3,True,True,103,True,True,749,False,none,256,False,False,True,False,False,False,True,,25,genuinely_over_100ms_before_next_independent_physical_episode,1075,256,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,829,0.829999999999964,15,,0.9981986252022339,0.999,False,3,True,True,113,True,True,749,False,none,246,False,False,True,False,False,False,True,,26,genuinely_over_100ms_before_next_independent_physical_episode,1075,246,False,False,False,False,False,False
