run_id,role,terrain,speed_mps,variation,foot,foot_index,endpoint_sample,timestamp_s,contact_episode_id,physical_episode_index,raw_risk_score,threshold,threshold_crossing,persistence_counter,hysteresis_active_state,contact_loaded,touchdown_age_ms,risk_state,evidence_persistent,activation_sample,reset_event,reset_reason,physical_onset_delta_ms,physical_active,risk_target,normal_mask,air_mask,touchdown_mask,post_fall_mask,valid_prefall_mask,first_fall_sample,violation_index,primary_classification,actual_positive_state_after_first_fall_boundary,masked_sample_wrongly_in_legacy_invalid_numerator,state_output_exists_but_evaluation_excluded,contact_loss_reset_failure,new_touchdown_reset_failure,episode_boundary_reset_failure,reporting_numerator_denominator_error
sand_solref_interpolation_2of3_0p15_v03,sink_candidate,sand,0.15,3,left,0,2999,3.000000000000169,8,,0.9999999923059709,0.999,True,3,True,True,71,True,True,2959,False,none,,False,False,False,False,False,True,False,1937,18,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1949,1.9499999999998407,3,,1.0,0.999,True,3,True,True,32,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,19,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1959,1.9599999999998396,3,,0.9999999999995588,0.999,True,3,True,True,42,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,20,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1969,1.9699999999998385,3,,0.9999999999932614,0.999,True,3,True,True,52,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,21,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1979,1.9799999999998374,3,,0.9999999998878057,0.999,True,3,True,True,62,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,22,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1989,1.9899999999998363,3,,0.9999999999665479,0.999,True,3,True,True,72,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,23,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1999,1.9999999999998352,3,,0.9999999999839801,0.999,True,3,True,True,82,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,24,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,2009,2.0099999999998386,3,,0.9999999993780031,0.999,True,3,True,True,92,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,25,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,2019,2.019999999999842,3,,0.9999999338828033,0.999,True,3,True,True,102,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,26,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,2029,2.0299999999998453,3,,0.9997612486834356,0.999,True,3,True,True,112,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,27,state_update_continued_after_censor,True,True,True,False,False,False,True
