row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,60,2611,2602,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,61,2625,2625,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,62,2630,2625,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,63,2635,2625,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,64,2639,2630,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,65,2643,2635,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,66,2650,2643,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,67,2654,2650,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,68,2660,2650,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,69,2667,2660,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,70,2673,2667,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,71,2678,2673,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,72,2699,2699,0
