architecture,seed,threshold,persistence_endpoints,hysteresis,run_id,role,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,first_actionable,post_reflex_counterfactual,detected,first_detection_sample,warning_margin_ms,affected_foot_correct
S1,202608211,0.999,3,0.05,ice_native_0p10_v04,slip_candidate,0.1,right,59,2609,2637,1,True,False,True,2529,80,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,left,44,2402,2524,1,True,False,True,2409,-7,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,right,2,1837,1913,1,True,False,True,1889,-52,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,right,3,2050,2307,1,True,False,True,2049,1,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,right,5,2615,2768,1,True,False,True,2639,-24,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,0.1,right,3,1856,1954,1,True,False,False,,,
S1,202608211,0.999,3,0.05,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,0.1,right,4,2486,2751,1,True,False,True,2719,-233,False
S1,202608211,0.999,3,0.05,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,0.1,right,3,1855,1976,1,True,False,False,,,
S1,202608211,0.999,3,0.05,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,0.1,right,4,2468,2781,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,left,0,232,243,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,left,8,625,721,1,True,False,True,589,36,True
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,left,32,1289,1313,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,left,41,1795,2052,2,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,3,351,369,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,19,1070,1075,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,39,1487,1576,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,40,1649,1666,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,50,2014,2145,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,51,2244,2245,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,62,2542,2790,1,True,False,True,2499,43,True
