run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p20_v01,1,0.2,right,58,2586,True,2579,-7,True,True,True
ice_native_0p10_v02,2,0.1,left,1,250,True,229,-21,True,True,True
ice_native_0p10_v02,2,0.1,left,2,326,False,,,False,False,False
ice_native_0p10_v02,2,0.1,left,12,931,False,,,False,False,False
ice_native_0p10_v02,2,0.1,left,18,1475,True,1409,-66,True,True,True
ice_native_0p10_v02,2,0.1,left,24,2101,True,2019,-82,True,True,True
ice_native_0p10_v02,2,0.1,left,45,2657,True,2579,-78,True,True,True
ice_native_0p10_v02,2,0.1,right,0,147,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,6,435,True,439,4,False,True,True
ice_native_0p10_v02,2,0.1,right,21,1097,True,999,-98,True,True,True
ice_native_0p10_v02,2,0.1,right,30,1645,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,31,1833,True,1779,-54,True,True,True
ice_native_0p10_v02,2,0.1,right,32,1920,True,1889,-31,True,True,True
ice_native_0p10_v02,2,0.1,right,39,2323,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,48,2816,True,2739,-77,True,True,True
sand_solref_interpolation_2of3_0p10_v02,2,0.1,left,2,1946,True,1859,-87,True,True,True
sand_solref_interpolation_2of3_0p10_v02,2,0.1,right,3,1962,True,1939,-23,True,True,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,0.1,left,2,1948,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,0.1,left,2,1894,False,,,False,False,False
ice_native_0p15_v02,2,0.15,left,1,250,True,239,-11,True,True,True
ice_native_0p15_v02,2,0.15,left,2,424,True,389,-35,True,True,True
ice_native_0p15_v02,2,0.15,left,16,1528,True,1429,-99,True,True,True
ice_native_0p15_v02,2,0.15,left,30,2121,True,2049,-72,True,True,True
ice_native_0p15_v02,2,0.15,right,7,435,True,589,154,False,False,False
ice_native_0p15_v02,2,0.15,right,20,1100,True,1009,-91,True,True,True
ice_native_0p15_v02,2,0.15,right,25,1633,True,1669,36,False,False,True
ice_native_0p15_v02,2,0.15,right,27,1870,True,1909,39,False,False,True
ice_native_0p15_v02,2,0.15,right,35,2502,True,2469,-33,True,True,True
ice_native_0p20_v02,2,0.2,left,1,251,True,239,-12,True,True,True
ice_native_0p20_v02,2,0.2,left,2,410,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,1,153,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,7,424,True,399,-25,True,True,True
ice_native_0p20_v02,2,0.2,right,23,1092,True,1009,-83,True,True,True
ice_native_0p20_v02,2,0.2,right,74,2312,True,2329,17,False,True,True
ice_native_0p20_v02,2,0.2,right,83,2858,True,2859,1,False,True,True
sand_solref_interpolation_2of3_0p20_v02,2,0.2,left,1,1137,True,1179,42,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,0.2,left,1,982,True,1179,197,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,0.2,left,1,936,True,1179,243,False,False,False
ice_native_0p10_v03,0,0.1,left,0,169,False,,,False,False,False
ice_native_0p10_v03,0,0.1,left,3,287,True,269,-18,True,True,True
ice_native_0p10_v03,0,0.1,left,4,354,True,319,-35,True,True,True
ice_native_0p10_v03,0,0.1,left,12,1359,True,1319,-40,True,True,True
ice_native_0p10_v03,0,0.1,left,54,2540,True,2499,-41,True,True,True
ice_native_0p10_v03,0,0.1,right,30,943,True,949,6,False,True,True
ice_native_0p10_v03,0,0.1,right,39,1627,True,1589,-38,True,True,True
ice_native_0p10_v03,0,0.1,right,55,2070,True,2059,-11,True,True,True
ice_native_0p10_v03,0,0.1,right,56,2248,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,57,2388,True,2329,-59,True,True,True
ice_native_0p10_v03,0,0.1,right,66,2972,True,2929,-43,True,True,True
ice_native_0p15_v03,0,0.15,left,0,170,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,2,270,True,239,-31,True,True,True
ice_native_0p15_v03,0,0.15,left,16,1394,True,1339,-55,True,True,True
ice_native_0p15_v03,0,0.15,left,18,1545,True,1499,-46,True,True,True
ice_native_0p15_v03,0,0.15,left,29,2644,True,2549,-95,True,True,True
ice_native_0p15_v03,0,0.15,right,29,920,False,,,False,False,False
ice_native_0p15_v03,0,0.15,right,75,2911,True,2939,28,False,False,True
sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,2,1773,False,,,False,False,False
sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,3,1911,False,,,False,False,False
sand_solref_interpolation_2of3_0p15_v03,0,0.15,right,3,1795,True,1739,-56,True,True,True
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,left,2,1793,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,right,6,1815,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,left,2,1732,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,right,3,1767,True,1699,-68,True,True,True
ice_native_0p20_v03,0,0.2,left,0,170,False,,,False,False,False
ice_native_0p20_v03,0,0.2,left,1,238,True,219,-19,True,True,True
ice_native_0p20_v03,0,0.2,left,13,1470,True,1429,-41,True,True,True
ice_native_0p20_v03,0,0.2,left,45,2588,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,29,930,True,939,9,False,True,True
ice_native_0p20_v03,0,0.2,right,53,1809,True,1829,20,False,True,True
ice_native_0p20_v03,0,0.2,right,61,2053,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,63,2242,True,2189,-53,True,True,True
ice_native_0p20_v03,0,0.2,right,71,2681,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,82,2860,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,0,237,True,209,-28,True,True,True
ice_native_0p10_v04,1,0.1,left,7,615,True,569,-46,True,True,True
ice_native_0p10_v04,1,0.1,left,30,1290,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,39,1794,True,1749,-45,True,True,True
ice_native_0p10_v04,1,0.1,left,75,2438,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,86,2918,True,2989,71,False,False,False
ice_native_0p10_v04,1,0.1,right,3,348,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,4,440,True,399,-41,True,True,True
ice_native_0p10_v04,1,0.1,right,20,890,True,869,-21,True,True,True
ice_native_0p10_v04,1,0.1,right,39,1442,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,40,1650,True,1609,-41,True,True,True
ice_native_0p10_v04,1,0.1,right,47,2238,False,,,False,False,False
