endpoint_row,sample,foot,runtime_episode_id,physical_episode_id,normal_score,early_score,actionable_score,active_score,foot_score,proposal_score,persistence_count,valid_mask,prefall_mask,loaded_mask,touchdown_mask,transition_case,unique_g0_owner,data_quality_valid,run_id,fold,speed_mps,post_fall,invalid,wrong_case,owner_mismatch,latency_ms,attribution
137,1569,0,26,25,8.181668289233544e-19,1.300883601442276e-10,0.9999982633192819,1.7365506296908254e-06,0.9749438690759527,0.9982562277874775,2,True,True,True,False,,True,True,ice_native_0p20_v00,0,0.2,False,False,False,False,-72,VALID_EVENT_OUTPUT
162,1819,1,43,41,1.390692392538556e-09,0.013281238106865496,0.9854466158589472,0.0012721446434949223,0.6403217566907287,0.8749796273510179,2,True,True,True,False,,False,True,ice_native_0p20_v00,0,0.2,False,False,False,True,-83,VALID_EVENT_OUTPUT
183,2029,1,44,41,1.1232556188941804e-21,4.3057956795975567e-07,0.987069973057505,0.01292959636292699,0.9696002224826821,0.9946395510799697,2,True,True,True,False,,True,True,ice_native_0p20_v00,0,0.2,False,False,False,False,127,VALID_EVENT_OUTPUT
200,2199,0,30,29,0.0,0.0,1.0,0.0,1.0,1.0,2,True,True,True,False,,True,True,ice_native_0p20_v00,0,0.2,False,False,False,False,,NORMAL_CONTACT_FP
1,209,1,1,0,5.579995985779273e-11,1.5728262525121103e-12,0.7062714366835877,0.2937285632590395,0.9694659274711536,0.5677561979377369,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,-21,VALID_EVENT_OUTPUT
14,339,0,2,2,1.7900336654162792e-07,3.3773806261198186e-08,0.9994617485631141,0.0005380386597132602,0.9366660372449928,0.9402379195385765,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,-21,VALID_EVENT_OUTPUT
33,529,1,11,9,8.5250404156546095e-16,0.0003085033042780574,0.992473566614029,0.007217930081692048,0.9616842671836199,0.8745697324171278,2,True,True,True,False,,False,True,ice_native_0p10_v01,1,0.1,False,False,False,True,,NORMAL_CONTACT_FP
39,589,1,12,10,8.337286886396786e-10,0.00018271962831214016,0.4709017595434705,0.5289155199944886,0.8862265215335386,0.6301135542870419,2,True,True,True,False,,False,True,ice_native_0p10_v01,1,0.1,False,False,False,True,,TOO_EARLY
69,889,0,21,19,2.0881563889443318e-24,0.004476325769757335,0.9952683484579518,0.00025532577229100343,0.9972719734465514,0.9978989566409879,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,-72,VALID_EVENT_OUTPUT
80,999,0,22,20,2.6241159142035044e-35,7.127127796090057e-15,0.9952271688077913,0.00477283119220168,0.993110222616867,0.9601730565417108,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,,NORMAL_CONTACT_FP
83,1029,0,23,21,5.936672096466931e-38,8.690823304666028e-23,0.47719299653402597,0.5228070034659741,0.9323295945384441,0.6968755274708779,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,,NORMAL_CONTACT_FP
120,1399,1,21,17,3.2653285972908427e-22,4.103922167940228e-15,0.9422348744362526,0.057765125563743074,0.7409874831135874,0.869489507033735,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,,NORMAL_CONTACT_FP
124,1439,1,22,18,2.339744958408479e-14,2.6416159255129944e-13,0.9999301230242937,6.987697541858545e-05,0.6033826586939262,0.9876224221676163,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,-50,VALID_EVENT_OUTPUT
139,1589,0,29,27,2.3395963235049293e-17,5.315617704936995e-05,0.9999450796823359,1.764140614802428e-06,0.9963648023083242,0.9857921879816094,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,-24,VALID_EVENT_OUTPUT
170,1899,1,25,21,2.2286333320382895e-35,1.3524937872690774e-28,0.9999648548421268,3.5145157873325534e-05,0.9968346004174621,0.9877404637661777,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,141,VALID_EVENT_OUTPUT
181,2009,1,37,33,4.560057364158997e-26,1.3929257677855334e-16,0.9999997449190319,2.550809679786542e-07,0.9874427406450661,0.9976197345604212,2,True,True,True,False,,False,True,ice_native_0p10_v01,1,0.1,False,False,False,True,-79,VALID_EVENT_OUTPUT
183,2029,0,54,50,1.0164136142636531e-26,0.00379436021340694,0.984075331475853,0.012130308310740058,0.9999465657242597,0.8321050813500424,3,True,True,True,False,,False,True,ice_native_0p10_v01,1,0.1,False,False,False,True,-55,VALID_EVENT_OUTPUT
257,2769,0,63,58,4.442832055254377e-15,1.2058675247061373e-05,0.999953594880191,3.434644455747186e-05,0.9879770194140155,0.9997190960393733,2,True,True,True,False,,True,True,ice_native_0p10_v01,1,0.1,False,False,False,False,0,VALID_EVENT_OUTPUT
114,1339,0,1,1,1.594997672367921e-17,9.219522077186419e-05,0.9543210931385808,0.045586711640647384,0.999829834947687,0.9325261280619097,2,True,True,True,False,,False,True,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,0.1,False,False,False,True,-3,VALID_EVENT_OUTPUT
136,1559,0,3,2,3.651010576727826e-107,2.1917389131541616e-41,0.9999391695550085,6.083044499157112e-05,0.9942324771700339,0.9999999882945606,2,True,True,True,False,,True,True,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,0.1,True,False,False,False,,POST_FALL_ADVISORY
163,1829,0,5,3,2.4961888145982444e-200,4.9804276025605205e-88,0.9997655892109347,0.00023441078906530837,1.0,1.0,2,True,True,True,False,,True,True,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,0.1,True,False,False,False,,POST_FALL_ADVISORY
80,999,0,1,1,9.092484249969793e-06,0.01335515110004779,0.9866133162103999,2.2440205302110316e-05,0.9686965608612593,0.5521534724020919,2,True,True,True,False,,False,True,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,0.1,False,False,False,True,,TOO_EARLY
155,1749,0,3,3,1.4975347625272712e-119,3.517379070492273e-87,0.999999997668823,2.331177037080999e-09,0.9999999793320395,1.0,2,True,True,True,False,,True,True,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,0.1,True,False,False,False,,POST_FALL_ADVISORY
14,339,0,2,3,5.98977872506496e-11,2.213370985251402e-09,0.9998576531127794,0.00014234461395185483,0.9761049730406605,0.9827812571919754,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,-20,VALID_EVENT_OUTPUT
44,639,1,9,7,1.023933453640193e-27,1.819177721216227e-07,0.5374512620657965,0.4625485560164313,0.9997384967892898,0.6864492661593369,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,122,VALID_EVENT_OUTPUT
68,879,0,19,18,2.685304973274146e-19,2.2682487220953433e-05,0.999970169745094,7.147767685181427e-06,0.9346616091163436,0.9985139404441582,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,-89,VALID_EVENT_OUTPUT
80,999,0,20,19,1.368469837473937e-37,3.1137382693320474e-17,0.9609592916377002,0.039040708362299704,0.997899790656183,0.9713531340259614,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,,NORMAL_CONTACT_FP
