run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p10_v02,2,0.1,left,18,1475,False,,,False,False,False
ice_native_0p10_v02,2,0.1,left,24,2101,False,,,False,False,False
ice_native_0p10_v02,2,0.1,left,45,2657,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,0,147,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,6,435,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,21,1097,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,30,1645,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,31,1833,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,32,1920,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,39,2323,False,,,False,False,False
ice_native_0p10_v02,2,0.1,right,48,2816,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v02,2,0.1,left,2,1946,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v02,2,0.1,right,3,1962,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,0.1,left,2,1948,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,0.1,left,2,1894,False,,,False,False,False
ice_native_0p15_v02,2,0.15,left,1,250,False,,,False,False,False
ice_native_0p15_v02,2,0.15,left,2,424,False,,,False,False,False
ice_native_0p15_v02,2,0.15,left,16,1528,False,,,False,False,False
ice_native_0p15_v02,2,0.15,left,30,2121,False,,,False,False,False
ice_native_0p15_v02,2,0.15,right,7,435,False,,,False,False,False
ice_native_0p15_v02,2,0.15,right,20,1100,False,,,False,False,False
ice_native_0p15_v02,2,0.15,right,25,1633,False,,,False,False,False
ice_native_0p15_v02,2,0.15,right,27,1870,False,,,False,False,False
ice_native_0p15_v02,2,0.15,right,35,2502,False,,,False,False,False
ice_native_0p20_v02,2,0.2,left,1,251,False,,,False,False,False
ice_native_0p20_v02,2,0.2,left,2,410,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,1,153,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,7,424,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,23,1092,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,74,2312,False,,,False,False,False
ice_native_0p20_v02,2,0.2,right,83,2858,False,,,False,False,False
sand_solref_interpolation_2of3_0p20_v02,2,0.2,left,1,1137,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,0.2,left,1,982,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,0.2,left,1,936,False,,,False,False,False
