run_id,pair_id,pair_index,role,block,calibration_arm,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,g0_geometry_sha256,profile_calibration_only_do_not_train,training_use_assigned,variation_id,phase_offset,initial_perturbation
supplemental_positive_v8_l05,v8_pair_05,5,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,14,0.41,0.03,0.0,202608897,3.0,DEVELOPMENT_ONLY,f536b652243eaaf7e83e358edea89afb6f61db5567855531fdceb19fa3f0a0dd,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,6f823b24916521b9d9cb0dad03a3c9e58591e14e836eb8ab8181394a7acd4b29,f816873312395825f6d90e3823e7ec4b164b011da3a050b69054753598ce47f9,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1701,650,0.8272633744855967,0,39,37,,,False,,0,6a21c857d3758885a521c17a5c7d3f8d67518c459de4b58c81c0760cb051145d,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L05,0.0,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
supplemental_control_v8_l05,v8_pair_05,5,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,near_slip_non_event,14,0.41,0.03,0.0,202608897,3.0,DEVELOPMENT_ONLY,f536b652243eaaf7e83e358edea89afb6f61db5567855531fdceb19fa3f0a0dd,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,6f823b24916521b9d9cb0dad03a3c9e58591e14e836eb8ab8181394a7acd4b29,f816873312395825f6d90e3823e7ec4b164b011da3a050b69054753598ce47f9,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1667,1309,0.7453809238152368,0,39,37,,,False,,0,3f365ef7d20db21559a453c53f0bbe1bbd3887f5f48a57b64b6e5d326f9e648d,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L05,0.0,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
supplemental_positive_v8_l06,v8_pair_06,6,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,15,0.41,0.04,0.0,202608856,3.0,DEVELOPMENT_ONLY,777a7f4eb2cac68cc4472bf661bb866f6dd76ee76e87c0400c40693f6a235fa3,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,76b9a77e1a470b201679b1b1fff2a6dffe1e2d8f0823acd304415ef09df6bd34,68d040f01e0c0ba79ce3961c3c961d6e81b0fb02de5f27f40ea7e09ed41d8cfd,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1712,721,0.8086521612149533,0,39,37,,,False,,0,dbfde09ebce87ca9abde66c5686127980b3a5bc4a2c571dd06ecbf37b53a5006,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L06,0.0,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
supplemental_control_v8_l06,v8_pair_06,6,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,hard_normal,hard_normal,15,0.41,0.04,0.0,202608856,3.0,DEVELOPMENT_ONLY,777a7f4eb2cac68cc4472bf661bb866f6dd76ee76e87c0400c40693f6a235fa3,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,76b9a77e1a470b201679b1b1fff2a6dffe1e2d8f0823acd304415ef09df6bd34,68d040f01e0c0ba79ce3961c3c961d6e81b0fb02de5f27f40ea7e09ed41d8cfd,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1686,0,1.0,0,39,37,,,False,,0,ea1c9e914e34e9863a8d9186a6c36e2a3721086bb37f6cdfe39421fa8d47d813,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L06,0.0,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
supplemental_positive_v8_l07,v8_pair_07,7,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,16,0.41,0.05,0.0,202608871,3.0,DEVELOPMENT_ONLY,3111d1786a3b4008847dd8ed3fc8c04c0e09f91cb6da2303726f0b2edf775925,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c87932d5d42a84c277c7cd2d9d5228bc38a7ff12f70cd041db6ab20c5f8b56af,b2f335f1e31c924aab80f3213891b16dcfe9e19afbbddd4fd30f3684afbfe628,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1702,551,0.8541715628672152,0,39,37,,,False,,0,fbff83ac6ca673a50cbd110a0d6fb568fe84b020557d2a67405e83ea17df3a44,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L07,0.0,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
supplemental_control_v8_l07,v8_pair_07,7,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,near_slip_non_event,16,0.41,0.05,0.0,202608871,3.0,DEVELOPMENT_ONLY,3111d1786a3b4008847dd8ed3fc8c04c0e09f91cb6da2303726f0b2edf775925,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c87932d5d42a84c277c7cd2d9d5228bc38a7ff12f70cd041db6ab20c5f8b56af,b2f335f1e31c924aab80f3213891b16dcfe9e19afbbddd4fd30f3684afbfe628,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1667,1283,0.7504499100179964,0,39,37,,,False,,0,cf0e60c56a080ebf3f4f12f6520cbee979f15403525d84fafdf2bd694dfd1e89,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L07,0.0,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
supplemental_positive_v8_l08,v8_pair_08,8,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,17,0.55,0.02,0.0,202608812,3.0,DEVELOPMENT_ONLY,24a34d48502f54db4a8383d4b0f1b6e9314291d1816f7d8480b43492c1b4c9a8,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,784677332b49a1d6295871dae783d6e6da83c550b690d1743ef65eb93190eb03,cd86b4d74da0a39b14ef30b803e9fe84f5e72b54cdd66314f867e07e772b29c3,05afa8d4efc0f54b64035484587be324a09dea913438b8edceee70209130ff84,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,228,1706,623,0.8347230363423211,0,228,32,,,False,,0,43011a3b093536cf7d349f9434a4bfca7782d6df382b3e3b0b647151132cc085,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L08,0.14000000000000007,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
supplemental_control_v8_l08,v8_pair_08,8,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,hard_normal,hard_normal,17,0.55,0.02,0.0,202608812,3.0,DEVELOPMENT_ONLY,24a34d48502f54db4a8383d4b0f1b6e9314291d1816f7d8480b43492c1b4c9a8,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,784677332b49a1d6295871dae783d6e6da83c550b690d1743ef65eb93190eb03,cd86b4d74da0a39b14ef30b803e9fe84f5e72b54cdd66314f867e07e772b29c3,05afa8d4efc0f54b64035484587be324a09dea913438b8edceee70209130ff84,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,228,1717,0,1.0,0,228,32,,,False,,0,bccc7ca522e37903948630fd5c4d37af909bc8d5b922a242ec16620fddf0ca57,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L08,0.14000000000000007,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
supplemental_positive_v8_l09,v8_pair_09,9,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,18,0.55,0.03,0.0,202608898,3.0,DEVELOPMENT_ONLY,98d9a733381b301ac7cce2bc12c06811521eb71c0de63b450bc288788a8cfde2,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f5106c47e57b41e535ced50014681f1adf28353c1d3e4aab0613dc6f5cc1649d,271b83040454ffd3c645f315f1d8e2e3c96138c9f6b9a38d7812d4657b570733,05afa8d4efc0f54b64035484587be324a09dea913438b8edceee70209130ff84,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,228,1670,921,0.749745508982036,0,228,32,,,False,,0,c48717705d518eda82dd4e1d78eeda97a1bf4898c39778ca26de4ddc6bbd3eeb,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L09,0.14000000000000007,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
supplemental_control_v8_l09,v8_pair_09,9,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,near_slip_non_event,18,0.55,0.03,0.0,202608898,3.0,DEVELOPMENT_ONLY,98d9a733381b301ac7cce2bc12c06811521eb71c0de63b450bc288788a8cfde2,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f5106c47e57b41e535ced50014681f1adf28353c1d3e4aab0613dc6f5cc1649d,271b83040454ffd3c645f315f1d8e2e3c96138c9f6b9a38d7812d4657b570733,05afa8d4efc0f54b64035484587be324a09dea913438b8edceee70209130ff84,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,228,1688,1431,0.7254443127962084,0,228,32,,,False,,0,23720cf4303b0ddfe538237d40f32d71d64960a9b569cace2483e103002ec031,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L09,0.14000000000000007,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
