run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_control_v8_l00,v8_pair_00,control,left,right,none,1,725,1064,725,,,[],0.005485156551003456,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,right,none,2,1328,1665,1328,,,[],0.006006082519888878,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,right,none,3,1929,2265,1929,,,[],0.005906688515096903,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,right,none,4,2528,2865,2528,,,[],0.006032158154994249,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,0,33,143,33,,,[],0.0017891301540657878,True,,,,0,0,10,13,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,1,399,732,399,687,289,"[[687,732]]",0.06626404076814651,True,,,,0,0,10,17,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,2,999,1348,999,1282,284,"[[1282,1340]]",0.054163411259651184,True,,,,0,0,10,18,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,3,1604,1881,1604,,,[],0.04084530472755432,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,4,1883,1946,1883,,,[],0.007608538493514061,True,,,,0,0,10,16,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,5,2201,2415,2201,,,[],0.008669465780258179,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,6,2416,2564,2416,,,[],0.0025881235487759113,True,,,,0,0,10,14,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
