candidate_id,threshold,persistence_ms,actionable_margin,hysteresis,hysteresis_effect,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,invalid,post_fall,cross_foot,conditional_affected_foot_accuracy,verifier_acceptance_rate,diagnostic_only,selected_or_frozen,pareto_frontier,maximum_recall_with_normal_run_fp_zero,maximum_recall_with_contact_episode_fp_zero,minimum_normal_run_fp_at_recall_ge_0p80,minimum_contact_episode_fp_at_recall_ge_0p80,minimum_too_early_at_recall_ge_0p80
R1_seed_202608231,0.2,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7558386411889597,158,1218,69,118,118,54,1.0,0.04519608986680337,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.2,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7643312101910829,149,1173,63,118,118,54,1.0,0.043503319378840465,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.2,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7048832271762208,68,816,51,102,102,43,1.0,0.04519608986680337,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.2,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7006369426751592,63,793,47,102,102,43,1.0,0.043503319378840465,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7855626326963907,206,2041,118,144,144,98,1.0,0.043937539023407676,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.8004246284501062,203,1995,111,142,142,98,1.0,0.04226731267049002,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7537154989384289,158,1201,67,116,116,52,1.0,0.043937539023407676,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7600849256900213,149,1154,62,116,116,52,1.0,0.04226731267049002,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6963906581740976,67,797,51,101,101,42,1.0,0.043937539023407676,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.25,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.692144373673036,62,774,47,101,101,42,1.0,0.04226731267049002,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7834394904458599,197,1980,116,141,141,96,1.0,0.042656444044966726,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7961783439490446,189,1933,110,138,138,95,1.0,0.04101856362494009,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7515923566878981,158,1183,67,114,114,52,1.0,0.042656444044966726,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7579617834394905,149,1136,62,114,114,52,1.0,0.04101856362494009,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6900212314225053,67,780,51,100,100,40,1.0,0.042656444044966726,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.3,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6878980891719745,62,756,47,100,100,39,1.0,0.04101856362494009,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7834394904458599,197,1905,113,138,138,89,1.0,0.041132264479950914,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7961783439490446,189,1877,107,136,136,90,1.0,0.03970708307317728,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7409766454352441,157,1158,67,112,112,48,1.0,0.041132264479950914,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7473460721868365,147,1117,62,112,112,49,1.0,0.03970708307317728,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6815286624203821,67,756,50,99,99,36,1.0,0.041132264479950914,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.35,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6815286624203821,62,735,46,99,99,36,1.0,0.03970708307317728,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.4,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7813163481953291,189,1822,112,137,137,87,1.0,0.03879845641287525,True,False,False,0.09554140127388536,0.0,203,1995,111
