candidate_id,valid_sample_count,actionable_positive_sample_count,actionable_score_min,actionable_score_max,actionable_score_positive_median,actionable_score_negative_median,actionable_ovr_auroc,actionable_auprc,score_ge_0p99_count,raw_score_separable
R1_seed_202608231,1020221,35210,0.0,1.0,0.1144876480102539,0.014525938779115677,0.7708284415893699,0.17951166038617303,514,True
R1_seed_202608232,1020221,35210,0.0,1.0,0.042734161019325256,0.009252000600099564,0.7338486163394515,0.11774717770040932,1352,True
R1_seed_202608233,1020221,35210,7.261840889992787e-34,1.0,0.05346611887216568,0.015186547301709652,0.7335686470741123,0.14801036976158918,2283,True
R2_seed_202608231,1020221,35210,5.605193857299268e-45,1.0,0.030987272039055824,0.0021487257909029722,0.7944467796648036,0.12566839991491652,2782,True
R2_seed_202608232,1020221,35210,0.0,1.0,0.055895838886499405,0.016100389882922173,0.6896292846887276,0.12103279264276535,1520,False
R2_seed_202608233,1020221,35210,3.1837501109459844e-42,1.0,0.024854281917214394,0.0017348343972116709,0.7686513510278499,0.11258377939504549,923,True
R3_seed_202608231,1020221,35210,1.666604172601769e-37,1.0000001192092896,0.6716886758804321,0.26396265625953674,0.7589731553134338,0.1282539144446522,8957,True
R3_seed_202608232,1020221,35210,1.485376372184306e-43,1.0000001192092896,0.5215816497802734,0.13055099546909332,0.7161739742879351,0.10268249473803008,5369,True
R3_seed_202608233,1020221,35210,7.25416556134978e-21,1.0,0.6740689277648926,0.26228028535842896,0.7388953903677675,0.12468935234986368,9098,True
