candidate_id,evaluation_scope,run_id,fold,speed_mps,foot,contact_episode_id,onset_sample,detected,first_detection_sample,warning_margin_ms,late_latency_ms
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v01,1,0.15,right,52,2577,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v01,1,0.15,right,1,1626,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v01,1,0.15,right,2,1786,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,left,4,1908,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,right,1,1594,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,right,2,1768,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,left,4,1905,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,right,1,1575,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,right,2,1763,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,left,2,360,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,left,17,1636,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,left,35,2202,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,1,265,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,6,507,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,20,1201,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,34,1813,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,55,2118,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,56,2283,True,2269,14,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,0.2,right,58,2586,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,1,250,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,2,326,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,12,931,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,18,1475,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,24,2101,True,2019,82,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,left,45,2657,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,0,147,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,6,435,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,21,1097,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,30,1645,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,31,1833,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,32,1920,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,39,2323,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v02,2,0.1,right,48,2816,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v02,2,0.1,left,2,1946,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v02,2,0.1,right,3,1962,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,0.1,left,2,1948,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,0.1,left,2,1894,True,1809,85,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,left,1,250,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,left,2,424,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,left,16,1528,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,left,30,2121,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,right,7,435,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,right,20,1100,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,right,25,1633,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,right,27,1870,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,0.15,right,35,2502,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,left,1,251,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,left,2,410,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,right,1,153,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,right,7,424,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,right,23,1092,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,right,74,2312,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,0.2,right,83,2858,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p20_v02,2,0.2,left,1,1137,True,1189,-52,52
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,0.2,left,1,982,True,1189,-207,207
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,0.2,left,1,936,True,1189,-253,253
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,left,0,169,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,left,3,287,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,left,4,354,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,left,12,1359,True,1329,30,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,left,54,2540,True,2509,31,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,30,943,True,989,-46,46
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,39,1627,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,55,2070,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,56,2248,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,57,2388,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v03,0,0.1,right,66,2972,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,left,0,170,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,left,2,270,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,left,16,1394,True,1359,35,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,left,18,1545,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,left,29,2644,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,right,29,920,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v03,0,0.15,right,75,2911,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,2,1773,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,3,1911,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v03,0,0.15,right,3,1795,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,left,2,1793,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,right,6,1815,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,left,2,1732,False,,,
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,right,3,1767,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,left,0,170,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,left,1,238,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,left,13,1470,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,left,45,2588,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,29,930,True,979,-49,49
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,53,1809,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,61,2053,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,63,2242,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,71,2681,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v03,0,0.2,right,82,2860,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,0,237,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,7,615,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,30,1290,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,39,1794,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,75,2438,False,,,
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v04,1,0.1,left,86,2918,False,,,
