candidate_id,evaluation_scope,run_id,fold,foot,config_id,contact_loss_count,new_touchdown_count,first_fall_hard_reset_count,post_fall_mask_count,invalid_mask_count,score_recovery_count,first_fall_boundary_sample,invalid_persistence_increment_count,postfall_persistence_increment_count,contact_owner_mutation_count,latch_carryover_count
F1_seed_202608242,POOLED_OOF,marble_native_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,136,7,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,105,7,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,138,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,105,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,134,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,101,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,39,1,15,0,0,2846,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,98,52,1,15,0,0,2846,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,129,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,90,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,128,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,83,5,0,0,0,0,,0,0,0,0
