row_type,funnel_stage,count,run_id,fold,source_acquisition,speed_mps,foot,contact_episode_id,onset_phase,severity,contact_duration_ms,physical_active_duration_ms,physical_onset_sample,valid_actionable_sample_count,inter_episode_gap_ms,active_segment_count,short_oracle_deactivation_gap_count,fall_censored,insufficient_200ms_history,no_valid_actionable_samples_after_masks,per_foot_contact_owned,detected_by_R1_seed_202608231,short_gap_diagnostic_only,segmentation_changed
EPISODE,,,ice_native_0p20_v00,0,existing_valid_120_bilateral_development,0.2,right,31,legacy_development,legacy_development,269,100,1337,100,439,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v00,0,existing_valid_120_bilateral_development,0.2,right,41,legacy_development,legacy_development,326,83,1902,100,466,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v00,0,existing_valid_120_bilateral_development,0.2,right,56,legacy_development,legacy_development,235,105,2555,100,571,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v00,0,existing_valid_120_bilateral_development,0.2,right,68,legacy_development,legacy_development,223,153,2847,60,188,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,2,legacy_development,legacy_development,300,243,360,41,,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,19,legacy_development,legacy_development,117,9,961,98,353,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,27,legacy_development,legacy_development,68,10,1613,43,644,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,50,legacy_development,legacy_development,324,175,2084,82,459,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,58,legacy_development,legacy_development,198,115,2769,70,511,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,0,legacy_development,legacy_development,216,34,230,99,,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,10,legacy_development,legacy_development,298,29,810,100,544,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,16,legacy_development,legacy_development,196,103,1180,79,342,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,18,legacy_development,legacy_development,108,32,1489,66,204,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,21,legacy_development,legacy_development,212,139,1758,58,238,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,33,legacy_development,legacy_development,167,59,2088,94,192,2,1,False,False,False,True,False,True,False
