candidate_id,variant,seed,config_id,stage_order,stage,episode_count,detected_count,recall,rejected_since_prior
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,1,raw_actionable_argmax,471,432,0.9171974522292994,
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,2,proposal,471,371,0.7876857749469215,61
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,3,verifier,471,316,0.6709129511677282,55
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,4,V4_masked_verifier,471,307,0.6518046709129511,9
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,5,persistence,471,164,0.3481953290870488,143
F0_seed_202608241,F0,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,6,stable_episode_detection,471,162,0.34394904458598724,2
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,1,raw_actionable_argmax,471,428,0.9087048832271762,
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,2,proposal,471,377,0.8004246284501062,51
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,3,verifier,471,315,0.6687898089171974,62
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,4,V4_masked_verifier,471,304,0.6454352441613588,11
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,5,persistence,471,168,0.35668789808917195,136
F0_seed_202608242,F0,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,6,stable_episode_detection,471,165,0.3503184713375796,3
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,1,raw_actionable_argmax,471,428,0.9087048832271762,
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,2,proposal,471,386,0.8195329087048833,42
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,3,verifier,471,329,0.6985138004246284,57
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,4,V4_masked_verifier,471,318,0.6751592356687898,11
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,5,persistence,471,167,0.35456475583864117,151
F0_seed_202608243,F0,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,6,stable_episode_detection,471,165,0.3503184713375796,2
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,1,raw_actionable_argmax,471,364,0.772823779193206,
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,2,proposal,471,158,0.3354564755838641,206
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,3,verifier,471,124,0.2632696390658174,34
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,4,V4_masked_verifier,471,117,0.2484076433121019,7
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,5,persistence,471,39,0.08280254777070063,78
F1_seed_202608241,F1,202608241,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,6,stable_episode_detection,471,39,0.08280254777070063,0
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,1,raw_actionable_argmax,471,363,0.7707006369426752,
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,2,proposal,471,151,0.3205944798301486,212
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,3,verifier,471,110,0.23354564755838642,41
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,4,V4_masked_verifier,471,102,0.21656050955414013,8
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,5,persistence,471,32,0.06794055201698514,70
F1_seed_202608242,F1,202608242,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,6,stable_episode_detection,471,31,0.06581740976645435,1
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,1,raw_actionable_argmax,471,367,0.7791932059447984,
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,2,proposal,471,153,0.3248407643312102,214
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,3,verifier,471,117,0.2484076433121019,36
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,4,V4_masked_verifier,471,113,0.23991507430997877,4
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,5,persistence,471,39,0.08280254777070063,74
F1_seed_202608243,F1,202608243,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,6,stable_episode_detection,471,38,0.08067940552016985,1
