outer_fold,inner_fold,fit_fold,mining_fold,reason,identity,run_id,outer_validation_member,actionable_score,foot_score
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1129:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999995202609,0.016953167908671914
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:639:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999995362145,0.00010670541667386885
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1249:0,positive_0p20_left_early_loading_v1_M1,False,0.9999999995654671,8.143046067085214e-10
0,0,2,1,high_normal,positive_0p15_right_early_loading_native_strong_ice_v1:909:0,positive_0p15_right_early_loading_native_strong_ice_v1,False,0.9999999996208353,3.075425905531264e-13
0,0,2,1,high_normal,ice_native_0p20_v04:1319:1,ice_native_0p20_v04,False,0.9999999996345756,0.00019466997567775237
0,0,2,1,high_normal,positive_0p20_right_mid_late_stance_v1_M1:2029:1,positive_0p20_right_mid_late_stance_v1_M1,False,0.9999999996515858,0.9546387324617607
0,0,2,1,high_normal,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1:1229:1,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999996644426,0.00014922880399305898
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1099:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999996724886,0.4142974826688342
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1119:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999996811495,0.0071159536050380175
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:1069:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999996852278,0.002449211337469285
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1289:0,positive_0p15_left_early_loading_v1_M1,False,0.9999999997014921,1.3717383744343663e-08
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1709:1,positive_0p10_left_early_loading_v1_M1,False,0.999999999711833,0.9999998661338613
0,0,2,1,high_normal,positive_0p15_right_early_loading_native_strong_ice_v1:1079:0,positive_0p15_right_early_loading_native_strong_ice_v1,False,0.9999999997169777,0.9984388777678882
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:779:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999997262485,4.075540347805911e-05
0,0,2,1,high_normal,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1:909:0,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999997420328,4.565780694048816e-06
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:799:0,positive_0p10_right_early_loading_v1_M1,False,0.999999999751539,5.527068748861913e-06
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:1079:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999997828632,0.013101164692570158
0,0,2,1,high_normal,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1:639:1,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999998088647,0.0307542101028806
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1669:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999998208886,0.9999999558391626
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1889:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999998252385,3.302610539083433e-05
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:639:0,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999998268176,0.0010552705115268156
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1589:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999998530749,4.467539074347543e-05
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:609:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999998602762,1.8285275546453027e-06
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:449:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.999999999861493,1.2267596708067143e-06
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:629:0,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.9999999998722231,3.152768303401288e-05
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:659:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999998740727,0.004316833465080462
0,0,2,1,high_normal,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1:1819:1,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999998807059,1.7332274428496366e-07
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:949:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999998922637,1.3300425788460266e-10
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:619:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999063867,6.542460583824835e-05
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:649:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999064773,0.00037832232650252196
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1089:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999999070845,0.09439720368872777
0,0,2,1,high_normal,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1:1519:0,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999999082929,1.2270630506470392e-06
