candidate_id,variant,seed,outer_fold,contract,row_count,hard_negative_row_count,state_weight_min,state_weight_max,state_weight_sum,foot_weight_min,foot_weight_max,foot_weight_sum,effective_sample_size
F0_seed_202608241,F0,202608241,0,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60510,758,7.855621969992307e-16,281.5216942460419,60510.0,0.12433564319945438,95.82725643729378,60510.0,3049.1365485685833
F0_seed_202608241,F0,202608241,1,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60664,715,1.1234014950377245e-13,295.35928875446723,60664.000000000015,0.12487151359471423,104.83167901480324,60664.0,2432.719194417114
F0_seed_202608241,F0,202608241,2,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,69040,782,1.0776817630909836e-13,285.6183810324622,69039.99999999999,0.12959215596285234,95.8066733557773,69040.0,3213.7709798022
F0_seed_202608242,F0,202608242,0,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60510,758,7.855621969992307e-16,281.5216942460419,60510.0,0.12433564319945438,95.82725643729378,60510.0,3049.1365485685833
F0_seed_202608242,F0,202608242,1,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60664,715,1.1234014950377245e-13,295.35928875446723,60664.000000000015,0.12487151359471423,104.83167901480324,60664.0,2432.719194417114
F0_seed_202608242,F0,202608242,2,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,69040,782,1.0776817630909836e-13,285.6183810324622,69039.99999999999,0.12959215596285234,95.8066733557773,69040.0,3213.7709798022
F0_seed_202608243,F0,202608243,0,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60510,758,7.855621969992307e-16,281.5216942460419,60510.0,0.12433564319945438,95.82725643729378,60510.0,3049.1365485685833
F0_seed_202608243,F0,202608243,1,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,60664,715,1.1234014950377245e-13,295.35928875446723,60664.000000000015,0.12487151359471423,104.83167901480324,60664.0,2432.719194417114
F0_seed_202608243,F0,202608243,2,EXACT_S4C_EPISODE_RAKING_STATE_LOSS_AND_WRONG_FOOT_WEIGHTING,69040,782,1.0776817630909836e-13,285.6183810324622,69039.99999999999,0.12959215596285234,95.8066733557773,69040.0,3213.7709798022
F1_seed_202608241,F1,202608241,0,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60510,758,0.19730896109726173,89.7755772992541,60510.0,0.23918886868527162,21.766187050359715,60510.0,8595.865856867367
F1_seed_202608241,F1,202608241,1,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60664,715,0.19682567603634685,89.55568259653779,60664.0,0.23766037883684943,21.627094474153296,60663.99999999999,8533.934050876245
F1_seed_202608241,F1,202608241,2,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,69040,782,0.20839944815276792,89.6117627056902,69040.0,0.24877307024307982,21.394484040904864,69040.0,9818.547865051163
F1_seed_202608242,F1,202608242,0,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60510,758,0.19730896109726173,89.7755772992541,60510.0,0.23918886868527162,21.766187050359715,60510.0,8595.865856867367
F1_seed_202608242,F1,202608242,1,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60664,715,0.19682567603634685,89.55568259653779,60664.0,0.23766037883684943,21.627094474153296,60663.99999999999,8533.934050876245
F1_seed_202608242,F1,202608242,2,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,69040,782,0.20839944815276792,89.6117627056902,69040.0,0.24877307024307982,21.394484040904864,69040.0,9818.547865051163
F1_seed_202608243,F1,202608243,0,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60510,758,0.19730896109726173,89.7755772992541,60510.0,0.23918886868527162,21.766187050359715,60510.0,8595.865856867367
F1_seed_202608243,F1,202608243,1,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,60664,715,0.19682567603634685,89.55568259653779,60664.0,0.23766037883684943,21.627094474153296,60663.99999999999,8533.934050876245
F1_seed_202608243,F1,202608243,2,TARGETED_V3_RUN_FOOT_CONTACT_STATE_CELL_BALANCE,69040,782,0.20839944815276792,89.6117627056902,69040.0,0.24877307024307982,21.394484040904864,69040.0,9818.547865051163
