run_index,run_id,pair_id,role,status,full_trace_sha256,discarded,replaced,silently_relabelled
29,control_0p10_left_mid_late_stance_native_strong_ice_v2,v5_pair_014,control,EXECUTED_AND_RETAINED,b8488f4b35f2277db7fe748aee341c72d84b875f9c0b3cd66a981a0e795f4748,False,False,False
30,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,positive,EXECUTED_AND_RETAINED,cc895217af909e96fe1ed109ecc18dd27a69b4ef4aa4cbd833c542e77d8dcea8,False,False,False
31,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,control,EXECUTED_AND_RETAINED,9f8a8e103a526408695525175229db64e8b5d57bb88f79f1d6d90f96e7ac576e,False,False,False
32,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,positive,EXECUTED_AND_RETAINED,aa7287f2e58e0ecd98b8b6715145ab849789996c897c113df1ca07cb3c96f330,False,False,False
33,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,control,EXECUTED_AND_RETAINED,a6ac99b9e8c64eda7e4f6ce4a28d24edba0cc7ddbcbfef660c98ee3e7e59154d,False,False,False
34,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,positive,EXECUTED_AND_RETAINED,243727f0814031f4734d7b2aab4393825be940cac10459df819e3eb9fe8c189d,False,False,False
35,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,control,EXECUTED_AND_RETAINED,83102141d93a3bb007c7d7b02f072963758008c4a9c4cc7a65c93523bf5fa96c,False,False,False
36,positive_0p10_right_early_loading_native_strong_ice_v0,v5_pair_018,positive,EXECUTED_AND_RETAINED,60e6c58363e86f7de216ae573d979d669b64cdeac2a826b817a566d2845eb74d,False,False,False
37,control_0p10_right_early_loading_native_strong_ice_v0,v5_pair_018,control,EXECUTED_AND_RETAINED,04f72dd59312e15728cc15bc0526415ca69a7615038e70d19589b4b9b09ef249,False,False,False
38,positive_0p10_right_early_loading_native_strong_ice_v1,v5_pair_019,positive,EXECUTED_AND_RETAINED,31e53f140abae5b81de091db72ce3984a95e9c5c560a6c8d2b87a2d3207713d1,False,False,False
39,control_0p10_right_early_loading_native_strong_ice_v1,v5_pair_019,control,EXECUTED_AND_RETAINED,5a0a8595df760067bda1ebcc531780cbeb58b5d109cdd5cf6893bcc3c11d5157,False,False,False
40,positive_0p10_right_early_loading_native_strong_ice_v2,v5_pair_020,positive,EXECUTED_AND_RETAINED,dc364042a3ff60b085cc41376563953f4a7d35bc96b808e5b246bbd11d475840,False,False,False
41,control_0p10_right_early_loading_native_strong_ice_v2,v5_pair_020,control,EXECUTED_AND_RETAINED,2b27cb86d57cbe2954b6019bd14bfbf9150ab8e4048564f6c39b4bd6293a2899,False,False,False
42,positive_0p10_right_early_loading_moderate_ice_preregistered_v0,v5_pair_021,positive,EXECUTED_AND_RETAINED,f92f379ca30594ee86c9977b0301cc815ee40ad2fa585c312b638164fb323976,False,False,False
43,control_0p10_right_early_loading_moderate_ice_preregistered_v0,v5_pair_021,control,EXECUTED_AND_RETAINED,09505c462ea8c5b4d8893eaf47b4f1c01d36905ff7804a5073c0caa4883886e0,False,False,False
44,positive_0p10_right_early_loading_moderate_ice_preregistered_v1,v5_pair_022,positive,EXECUTED_AND_RETAINED,58555570b8a12b34a138c37b8caec692bf52a1ae53df0bec202a93fa2932dbf2,False,False,False
45,control_0p10_right_early_loading_moderate_ice_preregistered_v1,v5_pair_022,control,EXECUTED_AND_RETAINED,809a9ac0b81ead3f8795e4e6b1c0d500e10e97538e1a6d8c4037d3394829a8a1,False,False,False
