run_id,pair_id,pair_index,role,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,5,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,0.83,0.08,0.004,202608505,3.0,6a85a8a1aabc12891e2ec4648a3e9623b82ed49bce149f9d49855bd74a60bf48,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2fc5a4c17b790310c3674c2811d06e78242e71bc96345bbe38c9b0864674e5f4,e9320ed86f765971e40ccaa7ff97376691274cb33742792dab58e199503732ce,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1367,6000,0.09999999999999999,0,44,34,2296,2.2969999999999344,True,fallen_base_height,704,e84714b65fa517d8b8ee0b41b0e69a3a6031b70481f222c9666d62cefa3e9f22,False,False,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,5,control,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,0.83,0.08,0.004,202608505,3.0,6a85a8a1aabc12891e2ec4648a3e9623b82ed49bce149f9d49855bd74a60bf48,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2fc5a4c17b790310c3674c2811d06e78242e71bc96345bbe38c9b0864674e5f4,e9320ed86f765971e40ccaa7ff97376691274cb33742792dab58e199503732ce,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1678,6000,0.35,0,44,34,,,False,,0,bbdc1d85924d2af7392387afeb068722b1c22bf92807f4deac634f17cc6b41fc,False,False,False,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,6,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,0.07,0.0,-0.004,202608506,3.0,84fdcf2b5cb717f352086586420d6b8fcd0fba9c74b86ec61fbc4db6cc1f86be,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,e17d2e5777da292057ccae6741337040a5811647b96db88e416e56821d3f69f6,d522dcb1195a3a2dd185cffa86866dac8b246bcbdc898c6ae9ee21f890c1ae15,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1536,1237,0.6196289062500001,0,36,43,,,False,,0,c13a110005be3463bc71a95b1ab732baa594e54ec06498ae5f9505d81b9db74d,False,False,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,6,control,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,near_slip_non_event,0,0.07,0.0,-0.004,202608506,3.0,84fdcf2b5cb717f352086586420d6b8fcd0fba9c74b86ec61fbc4db6cc1f86be,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,e17d2e5777da292057ccae6741337040a5811647b96db88e416e56821d3f69f6,d522dcb1195a3a2dd185cffa86866dac8b246bcbdc898c6ae9ee21f890c1ae15,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1575,2325,0.5216825396825396,0,36,43,,,False,,0,ccc04d5d2e3e6c98dad56e7d5a93692423edd7c2f4df8711bbbc6abe08d699c3,False,False,False,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,7,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,1,0.41,0.04,0.0,202608507,3.0,039e45de3c5dcbf22641d9858d384453e2249ee535af37dfbbe20cc5994d3327,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f63bab79b703b7253a8c00860a653b34fa5a9deb3eeec3ab15123acdeeda19af,0567473ce0e9f98c9ff5a0d7f07d4ba292082878a4b3b9a95d6fb48482f103d8,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1664,1187,0.6637319711538462,0,39,37,,,False,,0,c5411df7ed3f34371a38db5b9644a4200d489ea44b0bfa979189b372cd53babc,False,False,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,7,control,0.1,left,mid_loading_early_stance,native_strong_ice,hard_normal,hard_normal,1,0.41,0.04,0.0,202608507,3.0,039e45de3c5dcbf22641d9858d384453e2249ee535af37dfbbe20cc5994d3327,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f63bab79b703b7253a8c00860a653b34fa5a9deb3eeec3ab15123acdeeda19af,0567473ce0e9f98c9ff5a0d7f07d4ba292082878a4b3b9a95d6fb48482f103d8,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1703,0,1.0,0,39,37,,,False,,0,2e2787a2b81f18e641229aed3130fdc7fdfa21be3fb466aa73ee8ce31b93f58e,False,False,False,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,8,positive,0.1,left,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,2,0.83,0.08,0.004,202608508,3.0,5e06d31e1c5b749ddeb601ef3108fd7d83491c9bebbbecadcd540f40bb8949a7,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,fa6bf8d59a8e9074bd33a4a2553ae8d08ee7a3a61add1bbfc30dd8441b3659e9,dac39341da90109b1db03b6218b05c44a196216e3dc87d1863eae580bb2bd5bd,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1591,1370,0.5945631678189818,0,44,34,,,False,,0,587d4c68f632be8be2be299bb48c55d73b5382a2986951d69cd7acc5256b400e,False,False,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,8,control,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,near_slip_non_event,2,0.83,0.08,0.004,202608508,3.0,5e06d31e1c5b749ddeb601ef3108fd7d83491c9bebbbecadcd540f40bb8949a7,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,fa6bf8d59a8e9074bd33a4a2553ae8d08ee7a3a61add1bbfc30dd8441b3659e9,dac39341da90109b1db03b6218b05c44a196216e3dc87d1863eae580bb2bd5bd,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1676,2626,0.4915572792362768,0,44,34,,,False,,0,ad8085906cab6bb1955f7336ddc917afb052c6ecf6d918ea288704d25dcca5e7,False,False,False,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,9,positive,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,0.07,0.0,-0.004,202608509,3.0,94c828ec0a4512cfa22bd46ba964eaa854d70fa13e372eb0159b2281a9e15bda,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,a299a9f41362c0a60b56b762b49998ce12538dcc387350d54eb9795e706d513c,e312191b9fb711398f12437a47bf7ec573eac11d815d5bca50a58e0e4eb23359,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1578,1549,0.5608365019011406,0,36,43,,,False,,0,459fa28916ecfe40ace560c972bc21736780f8560b6360d594f6426493dfc3f0,False,False,False,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,9,control,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608509,3.0,94c828ec0a4512cfa22bd46ba964eaa854d70fa13e372eb0159b2281a9e15bda,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,a299a9f41362c0a60b56b762b49998ce12538dcc387350d54eb9795e706d513c,e312191b9fb711398f12437a47bf7ec573eac11d815d5bca50a58e0e4eb23359,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1607,0,1.0,0,36,43,,,False,,0,60426160103af49c8e9850490e54156b47408e8700d56b6c3d165545db012be1,False,False,False,True
