pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,bc49e5733c340db73d174f348b23f122bdcb1901bb63aaa0fc6b5712ef6a9c53,0.1,left,mid_late_stance,native_strong_ice,hard_normal,2,202608514,44,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,7350a8d38b5f3906279d3712ee496ac540fe30458657b232e67487466c755f29,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,0,202608515,36,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_016,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,2cdee580df7557e3d7e035db8a0af30698b8c921fbffc44e1ec855ccf97aaaff,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608516,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_017,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,4f03c64849c1b36ecbd2c2075794e9883a4d55003821eec8d43471b8f0e17532,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,2,202608517,44,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_018,positive_0p10_right_early_loading_native_strong_ice_v0,control_0p10_right_early_loading_native_strong_ice_v0,3373cfb68efd772d908bfb04788ee349429f2bf2eb15edabc251b842a3c5365f,0.1,right,early_loading,native_strong_ice,near_slip_non_event,0,202608518,43,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_019,positive_0p10_right_early_loading_native_strong_ice_v1,control_0p10_right_early_loading_native_strong_ice_v1,a3ad6d6fc4f1c717682ce431fc1f366135c1fffdcf95c5d0961b44a383dc66f0,0.1,right,early_loading,native_strong_ice,hard_normal,1,202608519,37,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_020,positive_0p10_right_early_loading_native_strong_ice_v2,control_0p10_right_early_loading_native_strong_ice_v2,456c11b5db02c4c87c273928db71bc93d973c009870f09e8de059de2fced4ebf,0.1,right,early_loading,native_strong_ice,near_slip_non_event,2,202608520,34,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_021,positive_0p10_right_early_loading_moderate_ice_preregistered_v0,control_0p10_right_early_loading_moderate_ice_preregistered_v0,0e83288e149b7a0dce703da684b743a7e3c4305cab2731ca529f90615b88a524,0.1,right,early_loading,moderate_ice_preregistered,hard_normal,0,202608521,43,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_022,positive_0p10_right_early_loading_moderate_ice_preregistered_v1,control_0p10_right_early_loading_moderate_ice_preregistered_v1,e403dc95a2a09ee5b7f4ff6890b869f8b452bdb04e0a2a962aae17d089dd64a5,0.1,right,early_loading,moderate_ice_preregistered,near_slip_non_event,1,202608522,37,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_023,positive_0p10_right_early_loading_moderate_ice_preregistered_v2,control_0p10_right_early_loading_moderate_ice_preregistered_v2,74c44fb5743b377d8bb029059911086cae833762d63806b6694096224eb582be,0.1,right,early_loading,moderate_ice_preregistered,hard_normal,2,202608523,34,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
