pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_003,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,control_0p10_left_early_loading_moderate_ice_preregistered_v0,0.1,left,early_loading,moderate_ice_preregistered,contralateral_imu,443,643,0,1206,1.8041171172494312,24.169479958713055,1.5508959262027247,1.3996714920629894
v5_pair_003,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,control_0p10_left_early_loading_moderate_ice_preregistered_v0,0.1,left,early_loading,moderate_ice_preregistered,bilateral_asymmetry,443,643,0,2010,40.27115095538604,492.8316879272461,2.653645342458341,-7.9401843898596045
v5_pair_003,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,control_0p10_left_early_loading_moderate_ice_preregistered_v0,0.1,left,early_loading,moderate_ice_preregistered,contact_anchor_drift_label_only,443,643,0,82,0.019524357926878486,0.04857134725898504,0.018937938998794496,0.0031994632864087
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,target_foot_fsr,187,387,0,804,29.70847600668817,384.41925048828125,41.03542393653547,43.929899757774315
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,target_foot_imu,187,387,0,1206,2.6781888962066067,76.27531147003174,2.037416119260567,1.228489566007978
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,contralateral_fsr,187,387,0,804,0.9497654853175529,14.659103393554688,44.95078807327878,44.94678940701841
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,contralateral_imu,187,387,0,1206,0.5999161399273335,13.603141784667969,1.6007797301593276,1.5581661862335183
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,bilateral_asymmetry,187,387,0,2010,13.984989244488082,384.41925048828125,-1.3041638154371997,-0.6045618336436928
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,0.1,left,early_loading,moderate_ice_preregistered,contact_anchor_drift_label_only,187,387,0,82,0.016040490803922097,0.04847204592078924,0.022354433382577376,0.00641789109518175
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,target_foot_fsr,1030,1230,0,804,58.11709866921107,424.0142517089844,58.11709866921107,0.0
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,target_foot_imu,1030,1230,0,1206,5.932952612791087,194.39801597595215,3.0092777278139926,2.1170816111090134
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,contralateral_fsr,1030,1230,0,804,73.450958631525,167.2498016357422,41.08157932699023,82.76828468379689
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,contralateral_imu,1030,1230,0,1206,2.2154224905079536,41.09988594055176,2.024428027085221,1.6120725603481902
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,bilateral_asymmetry,1030,1230,0,2010,55.57730916484111,499.33616638183594,7.405117574782662,-32.80430844361171
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,0.1,left,early_loading,moderate_ice_preregistered,contact_anchor_drift_label_only,1030,1230,0,0,,,0.0202813863023507,
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_fsr,495,695,0,804,52.95920074763546,431.40765380859375,68.84698147787272,56.12676151356294
