run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only
positive_0p10_left_mid_late_stance_native_strong_ice_v2,v5_pair_014,positive,0.1,left,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,2,left,1266,1.266999999999916,1533,1.5339999999998866,268,4,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.0593525655567646,True,,True,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03116767108440399,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.045080725103616714,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.04883420467376709,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_right_early_loading_native_strong_ice_v0,v5_pair_018,positive,0.1,right,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,0,right,209,0.21000000000000016,284,0.2850000000000002,76,1,False,True,False,False,False,True,1418,fallen_base_height,1582,False,False,False,True,True,True,1.418,0.1241680234670639,True,,True,True
positive_0p10_right_early_loading_native_strong_ice_v1,v5_pair_019,positive,0.1,right,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,1,right,37,0.03800000000000003,148,0.1490000000000001,112,0,False,True,False,False,False,True,1312,fallen_base_height,1688,False,False,False,True,True,True,1.312,0.10507438331842422,True,,True,True
positive_0p10_right_early_loading_native_strong_ice_v2,v5_pair_020,positive,0.1,right,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,2,right,845,0.8459999999999622,912,0.9129999999999548,68,13,False,True,False,False,False,True,1546,fallen_base_height,1454,False,False,False,True,True,True,1.546,0.08364646881818771,True,,True,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v0,v5_pair_021,positive,0.1,right,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,right,207,0.20800000000000016,326,0.32700000000000023,120,1,True,False,False,False,False,True,1802,fallen_orientation,1198,False,False,False,True,True,True,1.802,0.10697527974843979,False,OTHER_WITH_EVIDENCE,True,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v1,v5_pair_022,positive,0.1,right,early_loading,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,right,37,0.03800000000000003,194,0.19500000000000015,158,0,False,False,False,False,False,True,2709,fallen_base_height,291,False,False,False,True,True,True,2.709,0.10091395676136017,False,OTHER_WITH_EVIDENCE,True,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v2,v5_pair_023,positive,0.1,right,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,right,372,0.3730000000000003,473,0.47400000000000037,102,1,False,True,False,False,False,True,1959,fallen_base_height,1041,False,False,False,True,True,True,1.959,0.06677372753620148,True,,True,True
