sample,foot,runtime_episode_id,actionable_score,normal_score,early_score,active_score,persistence,owner_foot,simultaneous_candidate_count,reconciliation_rule,candidate_id,evaluation_scope,outer_fold,run_id,speed_mps,physical_episode_id,physical_event_present,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,too_early_activation,cross_foot_ownership_violation
2484,1,4,1.0,0.0,0.0,3.13338001268557e-16,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_2of3_0p15_v01,0.15,4,False,False,False,True,True,False,False
2784,1,5,1.0,0.0,0.0,1.3501933031096359e-14,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_2of3_0p15_v01,0.15,5,False,False,False,True,True,False,False
2206,1,3,1.0,0.0,0.0,1.099448483643517e-11,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,0.15,3,False,False,False,True,True,False,False
2174,1,3,1.0,0.0,0.0,5.817094211466762e-27,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,0.15,3,False,False,False,True,True,False,False
2606,1,6,1.0,0.0,0.0,2.9547274051427454e-19,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_2of3_0p10_v04,0.1,5,True,False,False,False,False,False,False
2115,1,7,0.9961879849433899,8.26963881539016e-21,6.442682547458389e-07,0.0038114378694444895,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,0.1,4,True,False,False,False,False,True,False
616,1,18,0.9999642372131348,5.880323804254845e-24,1.396326038050956e-17,3.579074837034568e-05,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,ice_native_0p15_v04,0.15,15,False,False,False,False,False,False,True
1915,1,72,1.0,0.0,2.1334226235962196e-32,9.430994873937948e-11,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p10_left_early_loading_native_strong_ice_v1,0.1,72,False,False,False,True,True,False,False
2027,1,77,0.9999997615814209,1.223713256986803e-28,2.3109587702664636e-13,2.87481526584088e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p15_left_early_loading_native_strong_ice_v1,0.15,77,False,False,False,True,True,False,False
2021,1,112,0.9997122883796692,9.197935116932663e-19,0.0002653916017152369,2.224010859208647e-05,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p20_left_early_loading_native_strong_ice_v1,0.2,112,False,False,False,True,True,False,False
