candidate_id,evaluation_scope,outer_fold,config_id,threshold,persistence_ms,actionable_margin,hysteresis,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,affected_foot_accuracy,crossing_count,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,normal_run_fp,normal_contact_episode_fp,too_early_activation,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,latch_carryover,cross_foot_ownership_violation,worst_speed_recall,safety_total,selected
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.99_p3_m0.00_h0.05,0.99,3,0.0,0.05,288,10,0.034722222222222224,1.0,52,12.0,27.199999999999996,0.0,128.14999999999998,0,42,0,0,0,35,35,0,0,0.010869565217391304,112,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.95_p5_m0.10_h0.05,0.95,5,0.1,0.05,288,17,0.059027777777777776,1.0,69,10.0,25.799999999999997,0.0,141.39999999999998,0,49,3,0,0,36,36,0,2,0.041237113402061855,126,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.95_p5_m0.00_h0.05,0.95,5,0.0,0.05,288,17,0.059027777777777776,1.0,69,10.0,25.799999999999997,0.0,141.39999999999998,0,49,3,0,0,36,36,0,2,0.041237113402061855,126,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.95_p3_m0.10_h0.05,0.95,3,0.1,0.05,288,25,0.08680555555555555,1.0,104,22.5,85.89999999999999,0.0,131.2,5,73,4,0,0,42,42,0,4,0.07216494845360824,170,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.95_p3_m0.00_h0.05,0.95,3,0.0,0.05,288,25,0.08680555555555555,1.0,104,22.5,85.89999999999999,0.0,131.2,5,73,4,0,0,42,42,0,4,0.07216494845360824,170,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.85_p5_m0.10_h0.05,0.85,5,0.1,0.05,288,45,0.15625,1.0,163,23.5,72.29999999999998,0.0,77.99999999999996,10,112,5,0,0,43,43,0,9,0.13043478260869565,222,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.85_p5_m0.00_h0.05,0.85,5,0.0,0.05,288,45,0.15625,1.0,163,23.5,72.29999999999998,0.0,77.99999999999996,10,112,5,0,0,43,43,0,9,0.13043478260869565,222,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.85_p3_m0.10_h0.05,0.85,3,0.1,0.05,288,80,0.2777777777777778,1.0,270,30.0,81.0,0.0,57.34999999999998,13,177,10,0,0,49,49,0,12,0.24742268041237114,310,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.85_p3_m0.00_h0.05,0.85,3,0.0,0.05,288,80,0.2777777777777778,1.0,270,30.0,81.0,0.0,57.34999999999998,13,177,10,0,0,49,49,0,12,0.24742268041237114,310,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.70_p5_m0.10_h0.05,0.7,5,0.1,0.05,288,129,0.4479166666666667,1.0,360,30.0,83.89999999999999,0.0,117.19999999999999,21,214,12,0,0,49,49,0,17,0.43434343434343436,362,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.70_p5_m0.00_h0.05,0.7,5,0.0,0.05,288,129,0.4479166666666667,1.0,360,30.0,83.89999999999999,0.0,117.19999999999999,21,214,12,0,0,49,49,0,17,0.43434343434343436,362,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.70_p3_m0.10_h0.05,0.7,3,0.1,0.05,288,161,0.5590277777777778,1.0,493,35.5,88.0,0.0,89.0,23,302,17,0,0,53,53,0,22,0.5454545454545454,470,False
R1_seed_202608231,INNER_TRAIN_CONFIG,1,t0.70_p3_m0.00_h0.05,0.7,3,0.0,0.05,288,161,0.5590277777777778,1.0,493,35.5,88.0,0.0,89.0,23,302,17,0,0,53,53,0,22,0.5454545454545454,470,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,353,5,0.014164305949008499,1.0,36,10.0,26.299999999999994,0.0,214.39999999999995,0,31,0,0,0,30,30,0,0,0.0,91,True
