candidate_id,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms
R1_seed_202608231,9.0,25.4,0.0,32.25
R1_seed_202608232,47.5,73.1,0.0,3.149999999999995
R1_seed_202608233,51.0,96.7,0.0,223.5000000000001
R2_seed_202608231,20.0,74.89999999999992,0.0,286.4000000000001
R2_seed_202608232,45.0,81.75,84.0,413.3999999999996
R2_seed_202608233,19.5,61.699999999999996,0.0,0.7999999999999972
R3_seed_202608231,55.0,91.0,0.0,75.39999999999998
R3_seed_202608232,46.0,88.99999999999996,0.0,114.2499999999998
R3_seed_202608233,34.0,83.0,0.0,122.0
