architecture,seed,run_id,role,speed_mps,variation,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,positive_attribution_after_fall
S3,202608212,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,4,right,3,2050,2307,1,True,True,2049,1,0,,False
S3,202608212,sand_solref_interpolation_2of3_0p10_v04,sink_candidate,0.1,4,right,5,2615,2768,1,True,True,2609,6,0,,False
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,0.1,4,right,3,1856,1954,1,True,False,,,,,False
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,0.1,4,right,4,2486,2751,1,True,True,2659,-173,173,,False
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,0.1,4,right,3,1855,1976,1,True,True,1769,86,0,,False
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,0.1,4,right,4,2468,2781,1,True,True,2629,-161,161,,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,left,0,232,243,1,True,True,209,23,0,False,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,left,8,625,721,1,True,True,569,56,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,left,32,1289,1313,1,True,False,,,,,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,left,41,1795,2052,2,True,True,1739,56,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,3,351,369,1,True,True,319,32,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,19,1070,1075,1,True,True,1069,1,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,39,1487,1576,1,True,True,1409,78,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,40,1649,1666,1,True,True,1609,40,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,50,2014,2145,1,True,False,,,,,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,51,2244,2245,1,True,True,2209,35,0,True,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,62,2542,2790,1,True,True,2499,43,0,False,False
S3,202608212,ice_native_0p15_v04,slip_candidate,0.15,4,right,63,2829,2838,1,True,False,,,,,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,0,227,259,1,True,True,229,-2,2,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,5,632,634,1,True,True,569,63,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,6,664,666,1,True,True,649,15,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,7,692,720,1,True,True,679,13,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,8,770,822,3,True,True,739,31,0,False,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,50,1154,1235,1,True,True,1089,65,0,False,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,58,1922,1925,1,True,True,1909,13,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,72,2503,2597,2,True,True,2449,54,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,left,78,2997,3000,1,True,True,2979,18,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,4,358,372,1,True,True,319,39,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,15,1075,1198,1,True,True,979,96,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,25,1503,1639,1,True,True,1429,74,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,49,2339,2344,1,True,True,2329,10,0,False,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,69,2627,2764,1,True,True,2589,38,0,True,False
S3,202608212,ice_native_0p20_v04,slip_candidate,0.2,4,right,70,2805,2809,1,True,True,2779,26,0,False,False
