run_id,terrain_name,profile_name,walking_speed_mps,fall_occurred,first_fall_sample,fall_reason,stable_loaded_contact_pre_fall,max_contact_penetration_post_touchdown_m,normal_contact_penetration_run_max_m,contact_penetration_separated_from_normal,max_surface_relative_sole_depth_post_touchdown_m,normal_surface_relative_sole_depth_run_max_m,surface_relative_depth_separated_from_normal,physical_sink_positive_evidence,effective_friction,effective_solref,effective_solimp,contact_episode_count,stable_loaded_episode_count_pre_fall,max_loaded_penetration_change_m,classification
sand_solref_interpolation_1of3_0p10_r00,sand,sand_solref_interpolation_1of3,0.1,False,,,True,0.006551622432563182,0.0037352325661355558,True,0.006551622432563179,0.0037352325661355592,True,True,0.7|0.01|0.001,0.0266666667|1.16666667,0.7|0.9|0.01|0.5|2,6,5,0.006523330727150153,PHYSICAL_SINK_EVIDENCE
sand_solref_interpolation_2of3_0p10_r00,sand,sand_solref_interpolation_2of3,0.1,False,,,True,0.009432855501513928,0.0037352325661355558,True,0.009432855501513925,0.0037352325661355592,True,True,0.7|0.01|0.001,0.0383333333|1.33333333,0.7|0.9|0.01|0.5|2,6,5,0.009404563796100898,PHYSICAL_SINK_EVIDENCE
sand_native_0p10_r00,sand,sand_native,0.1,True,2783,fallen_base_height,True,0.015292140683881263,0.0037352325661355558,True,0.06000763635336515,0.0037352325661355592,True,True,0.7|0.01|0.001,0.05|1.5,0.7|0.9|0.01|0.5|2,8,4,0.015229255977541295,PHYSICAL_SINK_EVIDENCE
sand_slightly_compliant_0p10_r00,sand,sand_slightly_compliant,0.1,True,1626,fallen_base_height,True,0.01982164807906003,0.0037352325661355558,True,0.11218492380383815,0.0037352325661355592,True,True,0.7|0.01|0.001,0.06|1.5,0.65|0.88|0.012|0.5|2,4,2,0.019793356373647,PHYSICAL_SINK_EVIDENCE
sand_moderately_compliant_0p10_r00,sand,sand_moderately_compliant,0.1,True,1595,fallen_base_height,True,0.026674368432122186,0.0037352325661355558,True,0.1315170497021912,0.0037352325661355592,True,True,0.7|0.01|0.001,0.07|1.5,0.6|0.86|0.015|0.5|2,4,2,0.026646076726709156,PHYSICAL_SINK_EVIDENCE
