run_id,terrain_name,profile_name,acquisition_role,walking_speed_mps,contact_episode_id,start_sample,end_sample_exclusive,duration_samples,duration_ms,loaded_samples_pre_fall,post_touchdown_slip_samples_pre_fall,post_touchdown_sink_samples_pre_fall,max_anchor_drift_m,net_anchor_drift_m,max_anchor_drift_post_touchdown_m,max_tangential_velocity_post_touchdown_mps,max_contact_penetration_m,max_contact_penetration_post_touchdown_m,max_surface_relative_sole_depth_m,max_surface_relative_sole_depth_post_touchdown_m,max_loaded_penetration_change_m,stable_loaded_contact_pre_fall,entire_episode_pre_fall,has_pre_fall_calibration_samples
marble_native_0p10_r00,marble,marble,hard_negative,0.1,0,37,283,246,246,243,233,233,0.002821497043793727,0.002821497043793727,0.002655337946267886,0.09201468328333386,0.002582637832156116,0.002582637832156116,0.0025826378321561127,0.0025826378321561127,0.0025543461267430873,1,1,1
marble_native_0p10_r00,marble,marble,hard_negative,0.1,1,606,944,338,338,334,324,324,0.0030431900898429546,0.002343854334044346,0.0030431900898429546,0.15605704769397663,0.0028184131125447527,0.0028184131125447527,0.002818413112544756,0.002818413112544756,0.002696024831951818,1,1,1
marble_native_0p10_r00,marble,marble,hard_negative,0.1,2,1195,1524,329,329,329,319,319,0.002408486618482416,0.002268325571226529,0.002408486618482416,0.13527454621004378,0.0023751268339525606,0.0023751268339525606,0.002375126833952557,0.002375126833952557,0.0020221127008044487,1,1,1
marble_native_0p10_r00,marble,marble,hard_negative,0.1,3,1797,2122,325,325,323,313,313,0.005379270964192248,0.004961651809003037,0.005379270964192248,0.26938850509660056,0.002533032535657921,0.002533032535657921,0.002533032535657921,0.002533032535657921,0.0021038097049705384,1,1,1
marble_native_0p10_r00,marble,marble,hard_negative,0.1,4,2390,2722,332,332,330,320,320,0.005056160981832587,0.004538458410539385,0.005056160981832587,0.24162782348415385,0.0026226407002501546,0.0026226407002501546,0.0026226407002501546,0.0026226407002501546,0.002231279641201789,1,1,1
marble_native_0p10_r00,marble,marble,hard_negative,0.1,5,2989,3000,11,11,11,1,1,0.002843740172835867,0.002843740172835867,0.002843740172835867,0.24616565370831853,0.0019243637950392368,0.0019243637950392368,0.0019243637950392368,0.0019243637950392368,0.0016795879198927416,0,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,0,37,284,247,247,243,233,233,0.0030005006000786553,0.0030005006000786553,0.0027511247592683476,0.08066182904993584,0.002622298825406387,0.002622298825406387,0.0026222988254063903,0.0026222988254063903,0.002594007119993358,1,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,1,606,949,343,343,338,328,328,0.0019943571329853133,0.0019943571329853133,0.0014529424800703039,0.0711194424471761,0.002726047272209954,0.002726047272209954,0.002726047272209954,0.002726047272209954,0.002661671486552164,1,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,2,1195,1533,338,338,338,328,328,0.0015452288431463215,0.0014112121057417817,0.0015452288431463215,0.0863998226315167,0.0024435671044357133,0.0024435671044357133,0.0024435671044357133,0.0024435671044357133,0.002189862618488303,1,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,3,1797,2128,331,331,326,316,316,0.0015409655125583148,0.0004289285089480975,0.0015409655125583148,0.05801669090308499,0.00243032283644599,0.00243032283644599,0.0024303228364459866,0.0024303228364459866,0.002186219983375648,1,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,4,2394,2730,336,336,336,326,326,0.0014856820891775465,0.00036242440038623927,0.0014856820891775465,0.10101445242272479,0.0025766448817726674,0.0025766448817726674,0.0025766448817726674,0.0025766448817726674,0.0021423228719640586,1,1,1
concrete_native_0p10_r00,concrete,concrete,hard_negative,0.1,5,2993,3000,7,7,7,0,0,0.0013358620236291203,0.0013358620236291203,,,0.0020001055554716663,,0.0020001055554716733,,,0,1,0
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,0,37,291,254,254,243,233,233,0.002038380671540767,0.001186039407173095,0.002038380671540767,0.07125840893042978,0.0035608458881704564,0.0035608458881704564,0.00356084588817046,0.00356084588817046,0.0035325541827574275,1,1,1
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,1,602,954,352,352,338,328,328,0.006417390554207511,0.006193482805245762,0.006417390554207511,0.0836741386301599,0.0034445469461928764,0.0034445469461928764,0.00344454694619288,0.00344454694619288,0.0033215906212668567,1,1,1
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,2,1182,1535,353,353,338,328,328,0.007942281210958923,0.004992511253564532,0.007942281210958923,0.10580604128552258,0.003152486602373157,0.003152486602373157,0.003152486602373157,0.003152486602373157,0.003135449629689077,1,1,1
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,3,1783,2133,350,350,337,327,327,0.00847934463569885,0.0054800745447359835,0.00847934463569885,0.1290210785748605,0.003327938703297002,0.003327938703297002,0.003327938703297009,0.003327938703297009,0.003166574410943479,1,1,1
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,4,2384,2734,350,350,336,326,326,0.008055754016904795,0.005125285394487925,0.008055754016904795,0.10662211826292933,0.0033123516300824453,0.0033123516300824453,0.0033123516300824383,0.0033123516300824383,0.002834121022212893,1,1,1
sand_hardened_0p10_r00,sand,sand_walking_support_v1_hardened,hard_negative,0.1,5,2984,3000,16,16,16,6,6,0.0020328950157515193,0.0020328950157515193,0.0020328950157515193,0.10769694082749036,0.0025641251350843565,0.0025641251350843565,0.0025641251350843495,0.0025641251350843495,0.0022624595786479573,0,1,1
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,0,37,190,153,153,153,143,143,0.065715653841426,0.065715653841426,0.065715653841426,1.64081219113532,0.0025467291322667186,0.0025467291322667186,0.002546729132266722,0.002546729132266722,0.0025184374268536897,1,1,1
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,1,191,197,6,6,6,0,0,0.008482152013906263,0.008482152013906263,,,9.450990662795544e-05,,9.450990662795544e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,2,198,203,5,5,5,0,0,0.007296219984606106,0.007296219984606106,,,8.175857467814917e-05,,8.175857467814917e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,3,204,207,3,3,3,0,0,0.0037925662140752187,0.0037925662140752187,,,3.2401167788224765e-05,,3.2401167788224765e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,4,208,211,3,3,3,0,0,0.0038756731037481893,0.0038756731037481893,,,3.469149378531721e-05,,3.469149378531721e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,5,212,215,3,3,3,0,0,0.003930846386693129,0.003930846386693129,,,4.2772484753035404e-05,,4.2772484753028465e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,6,216,219,3,3,3,0,0,0.003967385329347334,0.003967385329347333,,,3.6543621880542713e-05,,3.6543621880542713e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,7,220,223,3,3,3,0,0,0.003905221738529039,0.0039052217385290395,,,2.510574310409918e-05,,2.510574310410612e-05,,,0,1,0
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,8,454,541,87,87,87,77,77,0.10248821581117888,0.10248821581117888,0.10248821581117888,1.8491015475638692,0.011925528414814365,0.011925528414814365,0.011925528414814365,0.011925528414814365,0.011152872936921063,1,1,1
ice_native_0p10_r00,ice,ice,slip_candidate,0.1,9,542,589,47,47,47,37,37,0.04565583649100346,0.04565583649100345,0.04565583649100346,1.2456092818457734,0.00012901404498413382,9.476762419953055e-05,0.00012901404498413382,9.476762419953055e-05,5.943724231498304e-05,1,1,1
